"","GHGRP ID","Landfill ID","Landfill Name","State","Landfill Alias","Physical Address","City","County","Zip Code","Latitude","Longitude","Composting?","Ownership Type","Landfill Owner Organization(s)","Landfill Operator Organization","Year Landfill Opened","Landfill Closure Year","Current Landfill Status","Design Landfill Area (acres)","Current Landfill Area (acres)","Design Landfill Depth (feet)","Current Landfill Depth (feet)","Landfill Design Capacity (tons)","Waste in Place (tons)","Waste in Place Year","Annual Waste Acceptance Rate (tons per year)","Annual Waste Acceptance Year","Does LF Recirculate Leachate?","Leachate Recirc Frequency (Past 10 Yrs)","Permitted as RD&D LF?","LFG Generated (mmscfd)","LFG Collection System In Place?","LFG Collected (mmscfd)","LFG Collected Year","Percent Methane","Flares in Place?","Number of Flares","LFG Flared (mmscfd)","LFG Flared Year","Gas Collection System Comments"
"587",NA,2054,"Fayette County Landfill","GA",NA,NA,"Fayetteville","Fayette",NA,NA,NA,"No","Public","Fayette County, GA",NA,1990,1998,"Closed",NA,NA,NA,NA,NA,NA,1998,NA,1998,"Unknown","Not used","No",NA,"Yes",NA,NA,NA,"No",NA,NA,NA,NA
"588",1003440,11981,"Fort Benning LF","GA",NA,"1st Division Road","Fort Benning","Chattahoochee","31905",32.385,-84.865,"No","Public","United States Army",NA,1965,1997,"Closed",NA,101.6,NA,NA,3300584,2900513,1997,100018,1997,"No","Not used","No",0.98,"Shutdown",0.01,2018,NA,"Shutdown",1,0.01,2018,"2010-39 wells, system capacity=520 acfm."
"589",1004667,20701,"Fort Stewart Landfill","GA",NA,NA,"Fort Stewart","Liberty","31314",31.887204,-81.643534,"No","Public","United States Government",NA,1983,2046,"Open",NA,61.8,NA,NA,1985042,683334,2021,6305,2021,"No","Not used","No",0.383,"No",NA,NA,NA,"No",NA,NA,NA,NA
"590",1007007,20797,"Fulton County Merk Miles Road Landfill","GA",NA,"3225 Merk Road","College Park","Fulton","30349",33.668833,-84.570167,"No","Public","Fulton County, GA",NA,1970,1994,"Closed",NA,NA,NA,NA,1722288,1722288,1994,287048,1993,"No","Not used","No",NA,"Yes",0.259,2021,35.4,"Yes",1,0.259,2021,"2016-Zink candlestick flare."
"591",1003333,10407,"Gordon County Redbone Ridges LF","GA","Gordon County LF","1224 Pleasant Hill Road Extension NE & Red Bone Ridge Road","Ranger","Gordon","30734",34.510557,-84.765811,"No","Public","Gordon County, GA","Republic Services, Inc.",1995,2043,"Open",162.6,49,NA,NA,16992239,5034371,2021,344957,2021,"No","Not used","No",1.35,"No",NA,NA,NA,"No",NA,NA,NA,NA
"592",1004256,1978,"Grady Road Landfill","GA","Polk County Landfill #2","316 Grady Road","Rockmart","Polk","30153",33.9968,-85.167,"No","Public","Polk County Board of Commissioners, GA","GFL Environmental USA Inc.",1994,2038,"Open",NA,56,NA,NA,18442581,8832114,2021,762426,2021,"No","Not used","No",3.999,"Yes",3.569,2021,53.1,"Yes",NA,3.569,2021,"5/11-Began flaring in early 2011."
"593",1006858,439,"Gun Club Road landfill","GA","Atlanta-Gun Club Road","1401 Gun Club Road N.W.","Atlanta","Fulton","30318",33.795,-84.461,"No","Public","City of Atlanta, GA","City of Atlanta, GA",1977,1997,"Closed",NA,81,80,NA,3105718,3105715,1997,62,1997,"No","Not used","No",0.687,"Yes",0.101,2021,31.9,"Yes",NA,0.101,2021,"2012-37 wells, system capacity=356 acfm, passive venting too."
"594",1011008,10441,"Habersham County SR13 MSWL","GA",NA,"4900 Dicks Hill Parkway","Mt. Airy","Habersham","30563",34.555381,-83.45889,"No","Public","Habersham County, GA",NA,1993,2043,"Open",NA,NA,NA,NA,930358,724370,2021,28372,2021,"Yes","Several times per year","No",NA,"No",NA,NA,NA,"Unknown",NA,NA,NA,NA
"595",1004156,456,"Hall County Allen Creek Landfill","GA","Hall County-Allen Creek Phase A","2665 Allen Creek Road","Gainesville","Hall","30507",34.2537,-83.776,"No","Public","Hall County, Public Works Department, GA","Hall County, Public Works Department, GA",1985,1997,"Closed",60,60,60,NA,NA,1152218,NA,NA,NA,"Unknown","Not used","No",0.34,"No",NA,NA,NA,"No",NA,NA,NA,"2012-Passive vents/flares only."
"596",1003972,10408,"Hall County Candler Road MSWLF","GA",NA,"1700 Oakbrook Drive Candler Road","Gainesville","Hall","30507",34.242574,-83.800764,"No","Public","Hall County, Public Works Department, GA","Hall County, Public Works Department, GA",1997,2030,"Open",94.2,39.7,NA,NA,3977682,2044513,2021,173548,2021,"No","Not used","No",0.716,"No",NA,NA,NA,"No",NA,NA,NA,NA
"597",NA,1984,"Heard County Landfill","GA","Frolona Road","off Frolona Road
5.6 miles NW","Franklin","Heard","30217",33.295,-85.144,"No","Public","Heard County, GA",NA,NA,1993,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"598",1004559,449,"Hickory Ridge Landfill","GA","Moreland Avenue Disposal, Inc.","3330 Moreland Avenue","Conley","DeKalb","30288",33.662,-84.336,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1993,2008,"Closed",70,70,80,78,4814916,4814916,2008,154020,2008,"No","Not used","No",NA,"Yes",1.861,2021,35.1,"Yes",2,0.061,2021,"9/10-98 wells over 70 acres, 2 candlestick flares.; 2012-121 wells, system capacity=6000 acfm."
"599",NA,10240,"Highway 309 Landfill","GA","Decatur County SR-309 Bainbridge Phase II Sanitary LF","2773 Fowlstown Road","Bainbridge","Decatur","39819",30.83715,-84.56792,"No","Public","Decatur County Board of Commissioners, GA","Decatur County Board of Commissioners, GA",1982,2006,"Closed",NA,35,NA,35,NA,1149239,2006,6178,2006,"Unknown","Not used","No",NA,"Yes",NA,NA,NA,"Yes",1,0.72,NA,"9/06-10 wells in place, could add more soon."
"600",NA,11500,"Jefferson County CR-138 MSWL","GA",NA,"1619 Mennonite Church Road","Louisville","Jefferson","30434",33.1018,-82.4164,"No","Public","Jefferson County, GA",NA,1999,NA,"Open",NA,NA,NA,NA,NA,89919,2008,14640,2008,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"601",1006807,452,"Key Road Landfill","GA","Atlanta-Key Road","1500 Key Road S.E.","Atlanta","DeKalb","30316",33.698725,-84.339914,"No","Public","City of Atlanta, GA","City of Atlanta, GA",1974,1995,"Closed",NA,72,50,NA,2432047,2432047,1995,20046,1995,"No","Not used","No",1.19,"Yes",0.129,2018,33.4,"Yes",NA,0.129,2018,"2010-68 wells, system capacity=2500 acfm."
"602",1012422,10443,"Laurens County - Old Macon Road MSWL","GA",NA,"1645 Old Hawkinsville Road","Dublin","Laurens","31021",32.585913,-83.049101,"Yes","Public","Laurens County, GA","Laurens County, GA",1997,2110,"Open",NA,NA,NA,NA,3711403,777934,2021,37212,2021,"No","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"603",NA,2157,"Liberty County LF","GA",NA,"Limerick Road","Midway","Liberty","31320",31.843,-81.396,"No","Public","Liberty County SWA, GA",NA,1986,1998,"Closed",55,55,22,22,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",NA,NA,NA,"Yes",NA,NA,NA,"10/09-Flare system installed in July 2007."
"604",1006229,467,"Live Oak LF","GA",NA,"1189 Henrico Road","Conley","DeKalb","30288",33.6706,-84.3428,"No","Private","WM","WM",1986,2004,"Closed",NA,130,100,NA,16745406,16745404,2004,1129033,2004,"No","Not used","No",2.332,"Yes",2.055,2021,55.7,"Yes",NA,0.017,2021,"2012-153 wells, system capacity=11000 acfm."
"605",1011793,464,"Macon Bibb Walker Road MSWL","GA","Macon-Walker Road Phase II","1011 Walker Swamp Road","Macon","Bibb","31201",32.7995,-83.6107,"No","Public","Macon-Bibb, GA","Macon-Bibb, GA",1971,2021,"Closed",NA,129,80,NA,NA,4416070,2021,11762,2021,"No","Not used","No",NA,"Yes",0.633,2021,40.2,"Yes",NA,0.023,2021,"5/05-88 gas collection wells.; 2016-91 wells, system capacity=800 acfm."
"606",NA,2154,"Marble Top Road Landfill","GA",NA,"N. Marble Top Road","Chickamauga","Walker","30707",34.839431,-85.363464,"No","Public","Walker County, GA",NA,1977,1998,"Closed",NA,31,NA,52,NA,1050000,1998,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"607",NA,2161,"Morgan Falls","GA",NA,"Morgan Falls Road","Dunwoody","Fulton","30350",33.9691,-84.375,"No","Public","Fulton County, GA","Fulton County, GA",1955,1988,"Closed",NA,53,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",NA,NA,NA,"Yes",NA,NA,NA,"8/20-GCS was installed in 1997."
"608",1003335,10380,"Murray County Landfill","GA","Murray Co. - US 411 Westside Site 2 MSWL","6585 Highway 411 S","Chatsworth","Murray","30705",34.68076,-84.73063,"No","Public","Murray County, GA","Capital Waste Services",1988,2100,"Open",NA,70.4,NA,NA,11774580,1552743,2021,1,2021,"Yes","Occasionally but not every year","No",0.825,"No",NA,NA,NA,"No",NA,NA,NA,NA
"609",1006279,10444,"Newton County Landfill","GA","Newton County - Lower River Road Site #2 HE MSWL","205 Lower River Road","Covington","Newton","30016",33.551581,-83.895508,"No","Public","Newton County, GA",NA,1987,2067,"Open",NA,36.3,NA,NA,NA,1947156,2021,106146,2021,"No","Not used","No",0.697,"No",NA,NA,NA,"No",NA,NA,NA,NA
"610",1002477,2268,"Oak Grove Landfill","GA","Speedway-SR 324 Site I","967 Carl Bethlehem Road
3 mi SW of Winder, off SR 324","Winder","Barrow","30680",33.9659,-83.7728,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1978,2029,"Open",253,NA,NA,120,27546098,22870055,2021,534251,2021,"No","Not used","No",4.468,"Yes",4.063,2021,49.5,"Yes",1,1.463,2021,"1/10-102 vertical wells and 2 horizontal wells, replaced (2) 3,000 scfm flares with (1) 6,000 scfm flare.; 9/10-101 wells over 72 acres, 1 candlestick flare."
"611",1002863,462,"Old Dixie Highway MSW Landfill","GA","Dalton-Whitfield RSWMA (Rocky Face - Westside, Phases I & II) and Phases V & VI; GA Permit Nos. 155-024D(SL) & 155-033D(SL)","4189 Old Dixie Highway S.E.","Dalton","Whitfield","30721",34.6516,-84.945,"No","Public","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA","Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA",1980,2036,"Open",NA,210.1,137,80,12981809,6781334,2021,263816,2021,"No","Not used","No",2.516,"Yes",0.491,2021,50.2,"Yes",NA,0.392,2021,"7/08-60 wells.; 2012-63 wells, system capacity=1500 acfm."
"612",NA,1983,"Paulding County Landfill","GA",NA,"end of Grants Chapel Road
off Seven Hills Road","Dallas","Paulding","30132",34.02,-84.7995,"No","Public","Paulding County, GA",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"613",1006328,2303,"Pine Bluff Landfill","GA",NA,"13809 East Cherokee Drive","Ball Ground","Cherokee","30107",34.273,-84.387,"No","Private","WM","WM",1990,2060,"Open",NA,134.3,NA,NA,81571211,25666353,2021,1407085,2021,"No","Occasionally but not every year","No",NA,"Yes",8.568,2021,39.5,"Yes",3,8.568,2021,"2012-134 wells, system capacity=8750 scfm."
"614",1002478,2266,"Pine Ridge Landfill","GA","Pine Ridge Recycling","105 Bailey Jester Road","Griffin","Butts","30223",33.240017,-84.118684,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1997,2039,"Open",NA,148,NA,NA,37266389,24656558,2021,1087818,2021,"No","Not used","No",6.755,"Yes",4.974,2021,49.7,"Yes",NA,1.734,2021,"2012-76 wells, system capacity=6000 acfm."
"615",NA,1981,"Polk County Landfill #1","GA","Highway 278 Landfill","Highway 278
~1 mile from Grady Road LF","Cedartown","Polk","30125",34.007,-85.165,"No","Public","Polk County Board of Commissioners, GA","Polk County Board of Commissioners, GA",1971,1994,"Closed",120,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"616",1007798,10180,"R & B (Banks) Landfill","GA","Chambers R & B Landfill","610 Bennett Road","Homer","Banks","30547",34.35184,-83.42719,"No","Private","WM","WM",1988,2038,"Open",NA,110.6,NA,NA,34472200,18424842,2021,843028,2021,"No","Occasionally but not every year","No",5.63,"Yes",2.159,2021,40.4,"Yes",3,2.159,2021,"8/06-GCCS installed in 2001 voluntarily, had one flare initially, installed second flare in July 2003.; 2012-118 wells, system capacity=5450 scfm."
"617",1004487,454,"Richland Creek Road Landfill","GA","UWL Inc-Richland Creek Road","5691 South Richland Creek Road","Buford","Gwinnett","30518",34.127,-84.0353,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1989,2029,"Open",NA,173,75,NA,23232703,20997053,2021,1083503,2021,"No","Not used","No",8.2,"Yes",6.228,2021,50.1,"Yes",1,1.128,2021,"2012-144 wells, system capacity=9600 acfm.; 7/16-One closed flare and a back-up open flare."
"618",1005901,438,"Roberts Road Landfill","GA",NA,"180 Roberts Road","Fayetteville","Fayette","30214",33.486,-84.442,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1976,1993,"Closed",50,50,35,NA,NA,4214375,NA,NA,NA,"Unknown","Not used","No",0.465,"Yes",0.379,2012,23.5,"Yes",NA,0.379,2012,"2012-59 wells, system capacity=3000 acfm."
"619",1005314,10402,"Savannah-Dean Forest Road SL","GA",NA,"1327 Dean Forest Road","Savannah","Chatham","31405",32.078,-81.22,"No","Public","City of Savannah, GA",NA,1984,2056,"Open",NA,101,NA,NA,4932691,4449515,2021,88835,2021,"No","Not used","No",1.83,"No",NA,NA,NA,"No",NA,NA,NA,NA
"620",1005638,448,"Seminole Road MSW Landfill","GA","DeKalb County-Seminole Road MSW Landfill","4203 Clevemont Road","Ellenwood","DeKalb","30294",33.6552,-84.2525,"Yes","Public","DeKalb County Sanitation, GA","DeKalb County Sanitation, GA",1977,2074,"Open",348,175,91,56,53773364,15125364,2021,611030,2021,"No","Not used","No",5.856,"Yes",2.442,2021,46.2,"Yes",1,1.65,2021,"2/04-Adding wells.; 2/07-80 vert. wells & 1 J-1650 candlestick flare, began flaring in July ‘00.; 8/12-Ultra-low-NOx flare in 2013 (1st in U.S.), 131 vert. wells.; 2012-157 wells, system cap.=2100 acfm.; 9/13-148 vert. wells.; 1/14-Adding 20 more wells."
"621",NA,466,"Southern States-Bolton Road","GA","Sanifill-Bolton Road","2236 Bolton Road, N.W.","Atlanta","Fulton","30318",33.8184,-84.4655,"No","Private","WM","WM",1987,1993,"Closed",34,NA,100,NA,NA,1667108,NA,0,NA,"Unknown","Not used","No",NA,"Yes",1.368,NA,50,"Yes",NA,1.368,NA,NA
"622",1003983,457,"SR247 MSW Landfill","GA","SR 247 Klondike, Houston County LF","2080 GA Hwy 247","Kathleen","Houston","31047",32.399561,-83.55573,"No","Public","Houston County Board of Commissioners, GA","Houston County Board of Commissioners, GA",1987,2227,"Open",200,120.6,60,NA,21780180,3907519,2021,162981,2021,"Yes","Occasionally but not every year","No",1.558,"Yes",1.05,2021,48.3,"Yes",NA,0.039,2021,"2012-112 wells, system capacity=1500 acfm."
"623",1003569,444,"Superior Landfill & Recycling Center","GA","Little Neck Road Phases I & II","3001 Little Neck Road","Savannah","Chatham","31419",32.025,-81.28,"No","Private","WM","WM",1991,2031,"Open",NA,114,80,54,21498516,11774325,2021,684495,2021,"No","Occasionally but not every year","No",NA,"Yes",3.011,2021,54.4,"Yes",2,0.214,2021,"6/04-Open flare and passive flares.; 9/10-103 wells over 95 acres, system installed in 1995, 2 open flares.; 2012-130 wells, system capacity=5900 acfm, passive vents/flares too."
"624",1007888,2279,"Swift Creek Environmental Landfill","GA",NA,"4200 Davis Road","Macon","Bibb","31217",32.8235,-83.5176,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1980,2011,"Closed",NA,81.3,NA,NA,5196050,4438313,2011,49826,2011,"No","Not used","No",NA,"Yes",1.414,2021,26.7,"Yes",NA,1.414,2021,"6/07-System appears to have been installed in 2002.; 2010-78 wells, system capacity=1500 acfm."
"625",NA,10446,"Toombs County-S1898, PH 3 MSWLF","GA",NA,"2974 Lyons Center Road","Lyons","Toombs","30436",32.146467,-82.388566,"No","Public","Toombs County, GA",NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,NA,55158,2006,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"626",1010392,20699,"Turkey Run Landfill","GA",NA,"7144 Lone Oak Road","Hogansville","Meriwether","30230",33.163696,-84.848925,"No","Private","WM",NA,2010,2056,"Open",NA,35.4,NA,NA,28973656,5669553,2021,700556,2021,"Yes","Occasionally but not every year","No",2.229,"Yes",1.931,2021,50.9,"Yes",1,1.931,2021,"2014-Passive vents or flares."
"627",NA,440,"U.S. 78 Phase I","GA",NA,NA,"Lexington","Oglethorpe","30648",NA,NA,"No","Unknown",NA,"U.S. 78 Phase I",1976,1994,"Closed",NA,NA,24,NA,NA,118389,NA,6231,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"628",NA,10440,"Union Hill Church Road MSWLF","GA","Union Hill Landfill; Baldwin County LF","154 Union Hill Church Road S.W.","Gordon","Gordon","31031",32.954,-83.329,"No","Public","Baldwin County, GA",NA,NA,2066,"Open",NA,NA,NA,NA,NA,NA,NA,20112,2006,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"629",1006025,1986,"Walker Mountain Landfill","GA","Floyd County LF; Rome Walker Mountain Road, Site 2","433 Walker Mountain Road","Rome","Floyd","30161",34.19,-85.214799,"No","Public","Floyd County, GA; Rome City","Rome City",1998,2035,"Open",NA,36.1,NA,NA,3364575,2223356,2021,113080,2021,"No","Not used","No",0.902,"No",NA,NA,NA,"No",NA,NA,NA,NA
"630",NA,465,"Watts Road LF","GA",NA,"1144 Field Road NW","Atlanta","Fulton","30318",33.7856,-84.4858,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1970,1987,"Closed",55,NA,55,NA,NA,6000000,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",2.3,NA,50,"No",NA,NA,NA,NA
"631",1007124,461,"WI Taylor County Disposal, LLC","GA","Southern States Landfill; Veolia ES Taylor County Landfill","33 Stewart Road","Mauk","Taylor","31058",32.462263,-84.371526,"No","Private","GFL Environmental USA Inc.",NA,1989,2047,"Open",577,142,120,NA,51117057,17939946,2021,359246,2021,"No","Not used","No",8.93,"Yes",2.315,2021,50.8,"Yes",1,0.783,2021,"9/10-86 vertical wells, system installed in 1999, 1 candlestick flare.; 2012-126 wells, system capacity=4500 acfm."
"632",1003795,1937,"WMI-Rolling Hills","GA",NA,"870 Sullivan Road at Lees Mill Road","College Park","Clayton","30349",33.6188,-84.4172,"No","Private","WM","WM",NA,1991,"Closed",NA,NA,NA,NA,NA,1000000,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",0.72,NA,NA,"Yes",NA,0.72,NA,NA
"633",1003711,10404,"Wolf Creek Landfill, LLC","GA",NA,"911 Landfill Road
off Hwy 80 (Jeffersonville Road)","Dry Branch","Twiggs","31020",32.770535,-83.437873,"No","Private","WM","WM",1992,2058,"Open",88,48.3,NA,NA,11160054,7397122,2021,447590,2021,"No","Not used","No",3.531,"Yes",2.353,2021,54.6,"Yes",1,1.233,2021,"9/09-GCCS under construction, expected to be operational by 11/30/09.; 4/12-24 gas wells, flare's rated capacity = 2,000 scfm.; 2012-21 wells."
"634",1011026,20757,"Layon Municipal Solid Waste Landfill","GU",NA,"1130 Chalan Layon","Inarajan",NA,"96915",13.429707,144.649457,"No","Public","Guam Solid Waste Authority","Green Group Holdings, LLC",2011,2063,"Open",NA,22,NA,NA,13902379,978873,2021,100164,2021,"No","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,"2016-Passive vents/flares."
"635",NA,11801,"Ordot Landfill","GU","Ordot Dump","Dero Road","Ordot",NA,NA,13.439066,144.750611,"No","Public","Government of Guam","Government of Guam",1944,2011,"Closed",NA,43.5,NA,65,2500000,2500000,2009,117500,2007,"Unknown","Not used","No",NA,"Yes",NA,NA,NA,"Unknown",NA,NA,NA,NA
"636",1005313,2079,"Central Maui Landfill","HI",NA,"1 Pulehu Road","Puunene","Maui","96784",20.86,-156.419,"Yes","Public","Maui County, HI","Maui County, HI",1987,2039,"Open",NA,72,NA,NA,8304912,6238137,2021,292873,2021,"Yes","Several times per year","No",1.755,"Yes",1.647,2021,51.2,"Yes",1,1.647,2021,"2012-61 wells, system capacity=2045 acfm."
"637",NA,2080,"Hana Landfill","HI",NA,"Waikaloa Street","Hana","Maui","96713",20.76778,-155.98859,"No","Public","Maui County, HI","Maui County, HI",1969,2079,"Open",NA,34,NA,35,300000,124500,2008,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"638",NA,2299,"Kailua Landfill","HI",NA,NA,"Kealakehe","Hawaii",NA,NA,NA,"No","Public","Hawaii County, HI","Hawaii County, HI",1975,1993,"Closed",NA,NA,NA,NA,500000,500000,NA,35000,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"639",NA,11321,"Kalamaula Landfill","HI",NA,"Maunaloa Highway","Naiwa","Maui","96748",21.10096,-157.05001,"No","Public","Maui County, HI","Maui County, HI",1970,1993,"Closed",NA,NA,NA,17,81625,81625,1993,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"640",NA,2088,"Kaneohe Marine Corps Air Station Landfill","HI",NA,"MCBH Kaneohe Bay","Kaneohe Bay","Honolulu","96863",21.448,-157.731,"No","Public","United States Marine Corps","United States Marine Corps",1978,2024,"Open",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"641",NA,1777,"Kapaa","HI",NA,"Kapaa Quarry Road","Kailua","Honolulu","96734",21.4,-157.767,"No","Public","City and County of Honolulu, HI","City and County of Honolulu, HI",1955,NA,"Closed",110,NA,NA,NA,NA,4500000,2000,10010,1998,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"642",1001595,2297,"Kapaa and Kalaheo Sanitary Landfills","HI","Kapaa LF Site No. 2","Kapaa Quarry Road
913 Kalanianaole Highway","Kailua","Honolulu","96734",21.401025,-157.77503,"No","Public","City and County of Honolulu, HI",NA,1970,1995,"Closed",NA,NA,NA,NA,5838790,5838786,1995,1444,1995,"No","Not used","No",0.368,"Yes",0.327,2021,40,"Yes",NA,0.327,2021,"2014-81 wells, system capacity=1305 acfm."
"643",1000216,2081,"Kekaha Landfill/Phases I & II","HI",NA,"6900-D Kaumualii Highway","Kekaha","Kauai","96752",22.03452,-159.73029,"No","Public","County of Kauai, HI","WM",1953,2027,"Open",71.4,38,120,92,3528000,3026126,2021,88487,2021,"No","Not used","No",0.795,"Yes",0.633,2021,42.8,"Yes",1,0.633,2021,NA
"644",NA,2083,"Lanai Landfill","HI",NA,"Kaumalapau Highway (Hwy 440)
4 mi W of Lanai City","Lanai City","Maui","96763",20.794,-156.967,"No","Public","Maui County, HI","Maui County, HI",1969,2029,"Open",NA,20,NA,65,350000,182910,2008,4000,2008,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"645",NA,2084,"Naiwa Landfill","HI","Molokai Integrated Solid Waste Management Facility","Maunaloa Highway","Kaunakakai","Maui","96748",21.118,-157.062,"No","Public","Maui County, HI","Maui County, HI",1993,NA,"Open",NA,NA,NA,50,121000,90800,2008,6570,2008,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"646",NA,11300,"Olowalu Landfill","HI",NA,"Honoapiilani Highway","Lahaina","Maui","96761",20.83019,-156.62902,"No","Public","Maui County, HI","Maui County, HI",1967,1992,"Closed",NA,45,NA,100,262500,259700,1992,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"647",1004803,20793,"Palailai Landfill","HI","Puu Palailai Landfill","91-402 Farrington Highway","Kapolei","Honolulu","96707",21.338,-158.088,"No","Private","Grace Pacific Company",NA,1974,1988,"Closed",NA,NA,NA,NA,NA,2845215,1988,112519,1988,"No","Not used","No",NA,"Yes",0.08,2021,38.7,"Yes",1,0.08,2021,NA
"648",1012851,2087,"South Hilo Sanitary Landfill (SHSL)","HI","East Hawaii Landfill","Leilani Street
1645 Ho'olaulima Road","Hilo","Hawaii","96720",19.698,-155.044,"Yes","Public","Hawaii County, HI","Hawaii County, HI",1969,2019,"Closed",NA,40,NA,NA,3978101,3193059,2019,60047,2019,"No","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"649",1007708,2089,"Waimanalo Gulch Landfill & Ash Monofill","HI",NA,"92-460 Farrington Highway","Kapolei","Honolulu","96707",21.344,-158.11279,"No","Public","City and County of Honolulu, HI","WM",1989,2039,"Open",NA,115.8,NA,100,21826964,12913357,2021,266418,2021,"No","Not used","No",2.01,"Yes",1.031,2021,48,"Yes",1,1.031,2021,"2012-37 wells, system capacity=1000 scfm."
"650",1006173,2090,"West Hawaii Landfill/Puuanahulu","HI","WHSL","71-1111 Queen Kaahumanu Highway","Waikoloa","Hawaii","96738",19.889013,-155.880297,"No","Public","Hawaii County, HI","WM",1993,2050,"Open",150,58.2,NA,NA,9129661,3199926,2021,199858,2021,"Yes","Several times per year","No",0.512,"Yes",0.327,2021,38.8,"Yes",1,0.327,2021,"11/13-GCCS started up this month."
"651",NA,21155,"Benton County Sanitary Landfill","IA",NA,"7904 20th Avenue","Blairstown","Benton","52209",41.875716,-92.096757,"No","Public","Benton County, IA",NA,NA,NA,"Open",NA,NA,NA,NA,992250,NA,NA,11566,2015,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"652",1000287,614,"Black Hawk County SLF (Area E)","IA",NA,"1509 East Washburn Road","Waterloo","Black Hawk","50701",42.414,-92.32758,"No","Public","Black Hawk County SWM Commission, IA","Waste Tech, Inc.",1975,2054,"Open",160,135.4,30,NA,9118438,6517590,2021,182506,2021,"No","Not used","No",1.67,"No",NA,NA,NA,"No",NA,NA,NA,"1/05-Passive vents only."
"653",1011956,615,"Boone County Landfill","IA",NA,"1268 224th Lane","Boone","Boone","50036",42.02985,-93.9194,"Yes","Public","Boone County, IA","Boone County, IA",1970,2038,"Open",53.7,NA,55,NA,2733098,2193043,2021,91900,2021,"Yes","Occasionally but not every year","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"654",1006036,11701,"Carroll County Sanitary Landfill","IA",NA,"19111 Kittyhawk Avenue","Carroll","Carroll","51401",42.07127,-94.90601,"No","Public","Carroll County Solid Waste Management Commission","Carroll County Solid Waste Management Commission",1973,2034,"Open",40,NA,NA,NA,2506144,1570583,2021,80965,2021,"Yes","Several times per year","No",0.416,"No",NA,NA,NA,"No",NA,NA,NA,NA
"655",NA,21156,"Cass County Sanitary Landfill","IA",NA,"65928 Jackson Road","Atlantic","Cass","50022",41.37859,-94.92788,"No","Public","Cass County, IA",NA,NA,NA,"Open",NA,NA,NA,NA,719777,NA,NA,8720,2015,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
