"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","id"
"23","Begin The Beguine","1946","Art Tatum","Giants Of The Piano","1956","Art Tatum / Erroll Garner","Art Tatum Masterpieces","1973","Art Tatum","Crazy Rhythm","1979","Art Tatum","Art Tatum","1992","Art Tatum","Hold That Tiger! Original Recordings 1933-1940","2002","Art Tatum","Junior Jazz Gallery",NA,"Art Tatum","El Arte de Tatum",NA,"Art Tatum","The Art Tatum • Ben Webster Quartet","1958","The Art Tatum • Ben Webster Quartet* Featuring Red Callender And Bill Douglass (2)","Jazz Panorama","1983","Various","The Commodore Story","1997","Various","Combo Jazz",NA,"Various","The World's Greatest Music Series: ""Pop"" Jazz (Volume 1)","1962","Various","The Piano Album 1929 - 1940","1979","Various","The Jazz Collection","1990","Various","A Piano Anthology (From Jelly Roll Morton To Bill Evans)","1994","Various","The History Of Jazz Volume 2","1997","Various","Best Of Jazz And Blues","2000","Various","Pure Jazz Moods","2003","Various","Cinco Minutos De Jazz''''' 40 Anos","2006","Various","Jazz","2010","Various","Abc Du Jazz Vol. J ""Middle Jazz"" Piano",NA,"Various","Série Jazz Héritage - Disque Catalogue",NA,"Various","23"
"24","Where Or When / Exactly Like You","1946","Art Tatum  /  Benny Goodman Quintet*","Kings Of The Keyboard","1956","Art Tatum and Erroll Garner","Art Tatum 3  ""Art Of Tatum"" 1941-1944","1974","Art Tatum With Big Joe Turner And Trio*","The One And Only","1980","Art Tatum","The Art Tatum Solo Masterpieces, Volume Three","1992","Art Tatum","Art Tatum","2002","Art Tatum","The Tatum-Carter-Bellson Trio Album # 3",NA,"Art Tatum, Benny Carter, Louis Bellson","St. Louis Blues / Tiger Rag",NA,"Art Tatum","Jazz greats","1960","Various","Stormy Weather (1933)","1983","Various","RCA Victor 80th Anniversary • The First Label In Jazz • Vol.3 1940-1949","1997","Various","Jazz Giants",NA,"Various","The World's Greatest Music Series: ""Pop"" Jazz","1962","Various","The Winners","1979","Various","World Of Jazz","1990","Various","The Original American Decca Recordings 60th Anniversary Sampler (A Musical Heritage)","1994","Various","The History Of Jazz Volume 3","1997","Various","Smooth Jazz","2000","Various","Jazz Reference Best Of ","2003","Various","Jazz Piano History","2006","Various","Love Jazz","2010","Various","Summer Jazz",NA,"Various","The Golden Years Of Jazz Volume 3",NA,"Various","24"
"25","Piano Solos Volume One","1947","Art Tatum","Art Tatum","1957","Art Tatum","The Tatum Solo Masterpieces","1974","Art Tatum","Art Tatum","1980","Art Tatum","The Art Tatum Solo Masterpieces, Volume Two","1992","Art Tatum","Piano Grand Master","2003","Art Tatum","At The Hollywood Bowl",NA,"Art Tatum","The Genius Of Art Tatum #1",NA,"Art Tatum","Swing Street","1962","Various","Master Of Jazz Vol. 3","1984","Billie Holiday","1942-1950: As Time Goes By","1999","Billie Holiday","Swing Combos 1935 - 1941",NA,"Various","Esquire's World Of Jazz","1963","Various","Pablo Records In-Store Sampler Volume VII","1979","Various","Christmas Jubilee","1990","Various","Piano","1994","Various","The History Of Jazz Volume 4","1997","Various","Ken Burns Jazz: The Story Of America's Music","2000","Various","Jazzin' The Classics Vol. 2","2003","Various","Evenin' Blue","2006","Various","George Gershwin - The Essential","2010","Various","Blue Mood / Famous Jazz-Ballads And Blues",NA,"Various","The Golden Years Of Jazz Volume 2",NA,"Various","25"
"26","Ain't Misbehavin' / (When Your Heart's On Fire) Smoke Gets In Your Eyes","1948","Art Tatum","Art Tatum In Concert (Art Tatum Piano Solo)","1957","Art Tatum","Classic Piano Solos","1974","Art Tatum","I Giganti Del Jazz Vol. 14","1980","Billie Holiday, Lester Young, Charlie Parker, Art Tatum","The Tatum Solo Masterpieces, Vol. 6","1992","Art Tatum","Art Tatum Live 1951 - Volume 5","2003","Art Tatum","The Genius of Art Tatum, #6 (EP)",NA,"Art Tatum","Sophisticated Lady / Tea For Two ",NA,"Art Tatum","Swing Street Vol. 2","1963","Various","Lady Day's Immortal Performances 1939-1944","1986","Billie Holiday","Original Jazz Legends: Salute to George Gershwin (Volume 3)","1999","George Gershwin, Harold Arlen, Fats Waller, Hoagy Carmichael","Coleman Hawkins & Lester Young 1943-45",NA,"Coleman Hawkins, Lester Young","Swing Street Vol. 2","1963","Various","Neiman Marcus First Edition Third Series","1979","Various","Jazz ‘Round Midnight - Live","1990","Various","Jazz Piano Introduced By Jools Holland","1995","Various","The History Of Jazz Volume 5","1997","Various","Les Triomphes Du Jazz","2000","Various","Jazzin' The Classics Vol.1","2003","Various","The Essential Jazz Collection","2006","Various","Cole Porter The Essential","2010","Various","Jazz De Choc - III Piano",NA,"Various","Doug Aiton's Jazz Favourites Volume 1",NA,"Various","26"
"27","Dancing In The Dark / Nice Work If You Can Get It","1949","Art Tatum","All-Star Tribute To Tatum","1957","Art Tatum","Solos 1937","1974","Art Tatum","<U+0410><U+0440><U+0442> <U+0422><U+0435><U+0439><U+0442><U+0435><U+043C>","1981","<U+0410><U+0440><U+0442> <U+0422><U+0435><U+0439><U+0442><U+0435><U+043C>*","Rare Test Pressings & Transcriptions","1992","Art Tatum","Art Tatum","2003","Art Tatum","Vol. 2",NA,"Art Tatum","St, Louis Blues / Tiger Rag",NA,"Art Tatum","The Golden Swing Years Vol. 3","1964","Various","The Billie Holiday's Story","1986","Billie Holiday","Bean Soup","1999","Coleman Hawkins","Immortal Swing Sessions 1938 - 1943",NA,"Chu Berry And His Jazz Ensemble, Coleman Hawkins With Leonard Feather's All Stars*","Lullabies Of Birdland","1963","Various","A Treasury Of Jazz Greats","1980","Various","The Boogie Woogie Story","1990","Various","This Is Jazz","1995","Various","The Jazz Giants Play Irving Berlin : Soft Lights and Sweet Music","1997","Various","Jazz Indispensable - Piano","2001","Various","Swing Time","2003","Various","Blistering Licks: Red-Hot Riffs From The Giants Of Jazz","2006","Various","Rodgers Kern & Berlin - The Essential","2010","Various","Die Entwicklung Des Jazz II",NA,"Various","Jazz Giants",NA,"Various","27"
"28","How High The Moon / Humoresque","1949","Art Tatum","Piano Solos","1957","Art Tatum","The Swing Piano","1974","Earl Hines / Art Tatum / Teddy Wilson","The Tatum Solo Masterpieces, Vol. 11","1981","Art Tatum","Piano Genius","1992","Art Tatum","The Best Of The Complete Pablo Solo Masterpieces","2003","Art Tatum","Where or When",NA,"Art Tatum","St. Louis Blues/ Begin The Beguine ",NA,"Art Tatum","with Art Tatum, Harry Edison, Barney Kessel, Buddy Rich a.o.","1964","Lionel Hampton","The Jazz Preferences","1987","Various","Stardust Melodies The Best Of The All-Time Greatest Piano Stars","1999","Various","Flyin' On A V-Disc",NA,"Various","The Very Best Of Jerome Kern","1964","Various","<U+041A><U+043B><U+0430><U+0441><U+0441><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439> <U+0414><U+0436><U+0430><U+0437>","1980","Various","MCA Presents A Sampler Of Decca Jazz (1927-1949)","1990","Various","The Gershwin Songbook - 'S Paradise (The Instrumentals)","1995","Gershwin*","The Golden Years Of Jazz - Volume 1","1997","Various","Romantic Jazz","2001","Various","Les Trésors Du Jazz 1952","2003","Various","Charming Jazz Vol. 3","2006","Various","Jazz - 110 Original Hits","2010","Various","Masters Of Jazz Vol. 1-6",NA,"Various","100 Hits & Classics",NA,"Various","28"
"29","Dancing In The Dark / Aunt Hagar's Blues","1950","Art Tatum","Modern Jazz Piano: Four Views","1957","Mary Lou Williams / Art Tatum / Erroll Garner / Lennie Tristano","The Tatum Solo Masterpieces, Vol. 3","1974","Art Tatum","Piano Magic","1981","Art Tatum","The Art Tatum Solo Masterpieces Volume Four","1992","Art Tatum","The Best Of The Complete Pablo Group Masterpieces","2003","Art Tatum","I Know That You Know",NA,"Art Tatum","Piano Starts Here",NA,"Art Tatum","52nd Street","1964","Various","Jazz Potpourri Volume Two (20 Collector Items 1925-1933)","1987","Various","The Verve Album","2000","Various","Peter Asschenfeldt's Jazz And Blues Club Volume 5",NA,"Various","Silver Platter Service From Hollywood: Sides 129 & 130","1964","Jack Wagner (2)","Giants Of Jazz: Benny Carter","1980","Benny Carter","Handful Of Keys","1990","Various","Selection Of Jazz","1995","Various","The Golden Years Of Jazz - Volume 2","1997","Various","Say It Loud! A Celebration Of Black Music In America","2001","Various","Jazz Piano","2003","Various","Jazz Café Vol. 3","2006","Various","Jazz: The Smithsonian Anthology","2011","Various","Les Rois Du Jazz",NA,"Various","Jazz In V. Discs (1)",NA,"Various","29"
"30","Piano Solos Vol. 2","1950","Art Tatum","The Art Of Art Tatum Vol. 2","1958","Art Tatum","Art Tatum Legacy","1974","Art Tatum","Pieces Of Eight","1981","Art Tatum","Complete Brunswick & Decca Recordings, 1932-1941","1993","Art Tatum","Jazz Ballads 18","2004","Art Tatum","Piano Solos - The Jazz Makers",NA,"Art Tatum","Sweet Lorraine / Get Happy",NA,"Art Tatum","Era Of The Swing Trumpet","1964","Roy Eldridge, Jonah Jones, Cootie Williams, Bobby Hackett, Hot Lips Page, Sidney De Paris","The Complete Commodore Jazz Recordings Volume I","1988","Various","1944","2000","Various","Jazz Giants",NA,"Various","The Jazz Story Volume 4 (Rare Records Of The Men And The Music: The Big Bands)","1964","Various","Gli Anni D'Oro Della Musica Americana","1981","Various","Small Groups On V-Discs","1991","Various","The Art Tatum Trio With Piano Solos By Art Tatum / Haitian Moods","1995","The Art Tatum Trio* / Sidney Bechet","The Golden Years Of Jazz - Volume 3","1997","Various","Jazz Session","2001","Various","Stride Piano - James P. Johnson, Fats Waller, Willie ""The Lion"" Smith...","2003","Various","20 Original Hit Songs Of 1948","2006","Various","Cinco Minutos De Jazz: 45 Anos José Duarte","2011","Various","Those Memory Years: Presented By Agency & Distributor Sales Operation, General Electric To Our Franchised Electrical Wholesalers, Record 2",NA,"Various","The World Of Jazz Piano",NA,"Various","30"
"31","Art Tatum","1950","Art Tatum","Makin' Whoopee","1958","Art Tatum, Benny Carter, Louis Bellson","Les Rois Du Piano","1975","Fats Waller - Art Tatum","The Tatum Solo Masterpieces, Vol. 13","1982","Art Tatum","I Got Rhythm Vol.3 (1935-44)","1993","Art Tatum","Art Tatum Vol. 2, Fine And Dandy, Original Recordings 1937-1944","2004","Art Tatum","Gene Norman Presents Sounds Of Jazz No. 3",NA,"Art Tatum","Sounds Of Jazz No. 1",NA,"Art Tatum","Meditations","1965","Coleman Hawkins","The Kings Of Swing Vol. 5","1988","The All American Jazz Band Conducted By Louis Armstrong","1932","2000","Various","A Jazz Salute To Freedom",NA,"Various","Collected Jazz Classics","1965","Various","Grandi Solisti Vol. 2","1981","Various","L'essentiel Gershwin - Volume 2","1991","Various","Jazz Classics","1995","Various","The Golden Years Of Jazz - Volume 5","1997","Various","<U+30B8><U+30E3><U+30BA> <U+30D4><U+30A2><U+30CE><U+540D><U+6F14><U+96C6> VOL. 5","2001","Various","An Introduction To Finest Vintage Jazz","2003","Various","Relaxin' Blue","2006","Various","The Eternal Myth Revealed Vol.1","2011","Sun Ra","Explosive Disque Catalogue",NA,"Various","Bop Lives",NA,"Various","31"
"32","Art Tatum Encores","1951","Art Tatum","The Art Of Tatum","1958","Art Tatum","The Tatum Group Masterpieces","1975","Art Tatum / Ben Webster","Giants Of Jazz","1982","Art Tatum","I Got Rhythm Vol.3 (1935-44)","1993","Art Tatum","Improvisations","2004","Art Tatum, Steven Mayer","Unforgettable Art",NA,"Art Tatum","St. Louis Blues / Begin The Beguine",NA,"Art Tatum","The Influence Of Five","1965","Coleman Hawkins, Lester Young, Ben Webster, Don Byas, Chu Berry*","Classic Jazz Piano (1927-1957)","1988","Various","Ken Burns Jazz: The Story Of America's Music","2000","Various","The Original Jazz Masters Series Volume One, Disk 1",NA,"Various","The Asch Recordings, 1939-1947","1966","Various","Jazz Historical Recordings Vol. 2","1981","Various","Piano","1991","Various","60 Great Jazz Classics","1995","Various","The Golden Years Of Jazz - Volume 4","1997","Various","The History Of Jazz","2001","Various","jazz reference best of","2003","Various","Smokin' Blue","2006","Various","The 100 Best Jazz Tunes Of The 1950's","2011","Various","Jazz Giants",NA,"Various","The Art Tatum - Erroll Garner - Bud Powell - Billy Taylor Years",NA,"Various","32"
"33","Gene Norman Presents An Art Tatum Concert","1952","Art Tatum","The Art Tatum - Buddy De Franco Quartet","1958","Art Tatum, Buddy DeFranco","The Tatum Group Masterpieces","1975","Art Tatum / Roy Eldridge / John Simmons / Alvin Stoller","Jazz Masters Of The Keyboard Vol. I","1982","Waller*, Tatum*, Hines*, Wilson*","""The Frog"" - 1956 - 1962","1993","Ben Webster With: Art Tatum, Oscar Peterson, Hank Jones - Guest: Harry Edison","Tea For Two","2005","Art Tatum","Jazz Classic's",NA,"Art Tatum","Tatum Is Art - Art Tatum Trio",NA,"Art Tatum","Piano Modern","1966","Various","The Complete Trio Sessions With Tiny Grimes & Slam Stewart Vol. 2","1988","Art Tatum Trio","The Alternative Takes In Chronological Order","2001","Coleman Hawkins","Flyin' On A V-Disc",NA,"Various","The Asch Recordings, 1939-1947. Volume 1, Blues, Gospel, And Jazz","1966","Various","I Grandi Del Jazz Complete Edition","1981","Various","Capitol Jazz Classics","1991","Various","Piano Wizards","1995","Various","The Golden Years Of Jazz - Volume 10","1997","Various","Sensual Jazz","2001","Various","Martin Scorsese Presents The Blues - Piano Blues","2003","Various","125 Jazz Hits","2006","Various","Jazz L'album idéal en 25 titres mythiques","2011","Various","Jazz Pianorama",NA,"Various","Lullabies Of Birdland",NA,"Esquire All Stars","33"
"34","From Gene Norman's Just Jazz","1953","Art Tatum","The Greatest Piano Of Them All","1958","Art Tatum","At The Piano","1975","Art Tatum","The Tatum Solo Masterpieces, Vol. 12","1982","Art Tatum","The First Esquire Concert, Vol. 2","1994","Esquire All Stars Featuring Louis Armstrong, Coleman Hawkins, Lionel Hampton, Jack Teagarden, Billie Holiday, Teddy Wilson, Roy Eldridge, Art Tatum","Stormy Weather","2005","Art Tatum","Embraceable You",NA,"Herman Chittison / Art Tatum / Eddy Duchin","Unforgettable Art",NA,"Art Tatum","Piano Modern","1966","Various","Giants Of The Tenor Sax","1988","Coleman Hawkins / Frank Wess","Classic Jazz: The Forties","2001","Various","Jimmie Lunceford's Jubilee- Quests: Maxine Sullivan, Eddy South Trio, Jerry Lester, Golden Gate Quartet And Art Tatum",NA,"Jimmie Lunceford","Piano Modern","1966","Various","The Best Of Jazz: The Greatest All-Time Jazz Collection","1982","Various","Black, Hot And Swingin'","1991","Various","The V-Discs Collection","1995","Various","RCA Victor 80th Anniversary • The First Label In Jazz • Vol.3 1940-1949","1997","Various","The Sounds Of Jazz","2001","Various","Boogie Woogie","2003","Various","Classic Jazz - The Ultimate Collection","2006","Various","The Ultimate Jazz Archive","2011","Various","The Stars Salute Jimmy McHugh",NA,"Various","The Art of Jazz Piano",NA,"DK (3)","34"
"35","The Genius Of Art Tatum #17","1954","Art Tatum","Elegie/Humoresque","1958","Art Tatum","Art Tatum At The Crescendo Vol. I","1975","Art Tatum","Strange As It Seems","1983","Art Tatum","Jazz & Blues Collection Vol. 27","1995","Art Tatum","L'Art De Tatum","2006","Art Tatum","Piano Mastery",NA,"Art Tatum","The Genius Of Art Tatum",NA,"Art Tatum","The Great Swinging Tenor Saxophones","1968","Hawk*  &  Chu*","The Complete Trio Sessions With Tiny Grimes & Slam Stewart Vol. 1","1988","Art Tatum Trio","Original Music From The Film Jazz Seen","2001","Various","Le Plus Grand Festival De Jazz Vol. 2",NA,"Various","Piano Modern","1966","Various","Jazz Anthology","1982","Various","Jazz-Club Mainstream Piano","1991","Various","'S Paradise: The Gershwin Songbook (The Instrumentals)","1995","Gershwin*","New York Anni '40 - Thelonious Monk, Art Tatum & Bud Powell","1997","Various","Les 100 Plus Grands Thèmes Du Blues","2001","Various","Smooth Jazz","2003","Various","Smooth Jazz","2006","Various","Haynes Ultimate Guide to Jazz","2011","Various","Verve Jazz Book",NA,"Various","Untitled",NA,"Various","35"
"36","The Genius Of Art Tatum #5","1954","Art Tatum","The King And Queen Of Jazz Piano","1958","Art Tatum And Mary Lou Williams","The Tatum Solo Masterpieces, Vol. 4","1975","Art Tatum","Tatum.","1983","Art Tatum","1940-1944","1995","Art Tatum","The Tatum Solo Masterpieces, Vol. 2","2006","Art Tatum","The Genius Of Art Tatum",NA,"Art Tatum","Indiana / I Know That You Know",NA,"Art Tatum / Jimmie Noone And His Orchestra","Lazy Bill Lucas & His Friends","1970","Lazy Bill Lucas & His Friends","Jazz Piano (A Smithsonian Collection), Volume II","1989","Various","Lady Day: The Complete Billie Holiday On Columbia 1933-1944","2001","Billie Holiday","Body And Soul / On The Sunny Side Of The Street",NA,"The Art Tatum Trio*","Kings Of Swing","1966","Various","Jazz Masters Of The Keyboard Vol. I","1982","Various","Jazz Piano","1991","Various","1949-1950/4 I Grandi Successi","1995","Various","Jazz Piano","1998","Various","Jazz Station 60 Songs","2001","Various","Présentent L'Histoire Du Jazz Vocal - The Story Of Vocal Jazz - Part 2 (1941 - 1953)","2004","André Francis et Jean Schwarz","That Devilin' Tune - A Jazz History, Vol. 4 (1946-1951)","2006","Various","Jazz Piano Masters","2011","Various","The Original Jazz Masters Series Volume One, Disk 1",NA,"Various","Jazz Anthology - From King Oliver To Ornette Coleman",NA,"Oscar Peterson, Art Tatum","36"
"37","The Genius Of Art Tatum #6","1954","Art Tatum","The Delicate Touch Of Art Tatum","1959","Art Tatum","The Tatum Group Masterpieces","1975","Art Tatum, Louis Bellson, Benny Carter, Red Callender, Buddy DeFranco, Bill Douglass (2), Harry Edison, Roy Eldridge, Lionel Hampton, Jo Jones, Barney Kessel, Buddy Rich, John Simmons, Alvin Stoller, Ben Webster","Masterpieces","1983","Art Tatum","The Best Of Art Tatum","1995","Art Tatum","Over The Rainbow","2006","Art Tatum","Portrait Of Pee Wee Russell / Baby Laurence",NA,"Louis Prima, Art Tatum, Charlie Parker, Eddie Condon","Sweet Lorraine / Lullaby Of The Leaves",NA,"Art Tatum","Ulice Swingu","1970","Various","Hommage À George Gershwin","1989","Various","Classic Jazz: The Thirties","2002","Various","The Influence Of Five",NA,"Coleman Hawkins, Lester Young, Ben Webster, Don Byas, Chu Berry*","Jazz Festival 28 / Music On Deck 32","1967","Various","Piano Jazz","1982","Various","All That Jazz","1992","Various","Selection Of Jazz","1995","Various","All That Jazz","1998","Various","The Best Collection - Forever Jazz Vol.II","2001","Various","100 Refrains Pour La Liberation","2004","Various","100 Hits Of The 40s","2006","Various","Dive Into Jazz","2011","Various","The Original Jazz Masters Series Volume One, Disk 4",NA,"Various","The Kings Of Swing","1998","Art Tatum / Thelonious Monk","37"
"38","The Genius Of Art Tatum","1954","Art Tatum","The Incomparable: The Music Of Art Tatum","1959","Art Tatum","The Artistry Of Tatum","1975","Art Tatum","Art Tatum","1983","Art Tatum","1944","1995","Art Tatum","1949-1953","2006","Art Tatum","Sounds Of Jazz No. 2",NA,"Art Tatum","Fine And Dandy / Jada",NA,"Art Tatum","Jam Session (1944-1946)","1971","Various","Passin' It Around","1989","Coleman Hawkins","Summit Meetings 1939-1950","2003","Metronome All Stars / Esquire All Stars","Gershwin Piano Favorites",NA,"George Gershwin","Jazz, Musica Del Nostro Tempo","1969","Various","Super Jazz Giants (Grands Solistes)","1983","Various","Jazz","1992","Various","I Got Rhythm:  The Music Of George Gershwin","1995","Various","American Pop: An Audio History - From Minstrel To Mojo: On Record, 1893-1946","1998","Various","Ebony & Ivory - The Smooth Jazz Piano","2001","Various","Vintage Vaults: Jazz","2004","Various","The Original Smooth Jazz Album","2006","Various","Piano Solo Legends","2012","Various","50 ans de Jazz",NA,"Various","The Entertainers Volume 6","2001","Erroll Garner • Art Tatum","38"
"39","The Genius Of Art Tatum #3","1954","Art Tatum","More Of The Greatest Piano Of Them All","1959","Art Tatum","Art Tatum At The Crescendo Vol. II","1975","Art Tatum","The Tatum Group Masterpieces - Vol. 1 y 2","1983","Art Tatum, Lionel Hampton & Buddy Rich","Las Últimas Grandes Sesiones","1995","Art Tatum","The Tatum Solo Masterpieces, Vol. 1","2006","Art Tatum","Comet's Session",NA,"Art Tatum, Cyril Haynes","Piano Greats",NA,"Errol Garner* and Art Tatum / Mike Di Napoli","Jazz Spectrum Vol. 7","1971","Lionel Hampton","25 Géants Du Jazz: Enregistrements Historiques","1990","Various","Martin Scorsese Presents The Blues - Piano Blues","2003","Various","Body And Soul / I've Got My Love To Keep Me Warm",NA,"Art Tatum And His Swingsters","Ulice Swingu","1970","Various","G.I. Jive Volume 1 The Best Of The V-Discs","1983","Various","RCA Victor Jazz / The First Half Century: The Twenties Through The Sixties","1992","Various","Cool Jazz","1996","Various","Jazz Originals","1998","Various","Jazztel Isto é Jazz...","2001","Various","Jazz","2004","Various","Great Jazz Piano","2006","Various","Cherchez La Femme","2012","Various","Happy Days Are Here Again",NA,"Various","Chairmen Of The Board",NA,"Sophisticated Lady / Tea For Two","39"
"40","The Genius Of Art Tatum # 2","1954","Art Tatum","My Ideal / Gone With The Wind","1960","Art Tatum, Ben Webster","The Tatum Group Masterpieces","1975","Art Tatum, Ben Webster, Red Callender, Bill Douglass (2)","Art Tatum Solo Masterpieces","1983","Art Tatum","The Art Of Tatum","1995","Art Tatum","The Album","2007","Art Tatum, Ben Webster","Boogie-woogie / How High The Moon",NA,"Art Tatum","Wee Baby Blues / Battery Bounce","1941","Art Tatum And His Band","Jazz History Vol. 5","1972","Lionel Hampton","20 Top Tracks","1990","Coleman Hawkins","Best Of V Disc","2004","Various","24 Jazz Giants Vol. 2",NA,"Various","Jam Session (1944-1946)","1971","Various","Jazz Panorama","1983","Various","Boogie Woogie Giants","1992","Various","<U+039E><U+03AD><U+03BD>e<U+03C2> <U+0395>p<U+03B9>t<U+03C5><U+03C7><U+03AF>e<U+03C2> Jazz No4","1996","Various","Concise Guide To Jazz Classics Compact Disc","1998","Various","Classic Jazz","2001","Various","The Finest Dinner Jazz Collection","2004","Various","Jazz In The Charts 50/100 (Moonlight Serenade 1939 (5))","2006","Various","No Time Left To Start Again - The B And D Of R 'N' R Volume 5 - Poetry","2012","Various","Jazz Masters",NA,"Various","The Greatest Names In Jazz",NA,"Star Dust / Ill Wind","40"
"41","The Genius Of Art Tatum # 1","1954","Art Tatum","Have You Met Miss Jones / My One And Only Love","1960","Art Tatum / Ben Webster","The Tatum Solo Masterpieces, Vol. 2","1975","Art Tatum","The Best Of Art Tatum","1983","Art Tatum","Art Tatum","1995","Art Tatum","Tatum Art: Art Tatum Live Performances 1934-1956","2008","Art Tatum","Don't Blame Me / Sweet Lorraine",NA,"Art Tatum","Esquire Metropolitan Opera House Jam Session: Tea For Two / Blues / Esquire Bounce","1944","Various","Verve Jazz Book","1973","Various","MCA Presents A Sampler Of Decca Jazz (1927-1949)","1990","Various","The Entertainers of WWII, Vol. 3","2004","Various","Good Old-Fashioned Player Piano Music - Vol. 2",NA,"Various","Jazz History Vol. 1","1971","Various","Gli Strumenti Nel Jazz","1983","Various","A Taste Of Jazz - Red, Hot And Sexy","1992","Various","Tresors Jazz","1996","Various","The Spirit Of Ragtime","1998","Various","Stormy Weather Jazz","2001","Various","Battle Of Pianos","2004","Various","The Best Of Ragtime & Stride","2006","Various","The Gatsby Era","2012","Various","Storia Del Jazz",NA,"Various","Esquire Jazz Concert (Metropolitan Opera House, New York City, January 18, 1944)",NA,"I Ain't Got Nobody / When A Woman Loves A Man","41"
"42","The Genius Of Art Tatum #1","1954","Art Tatum","The Greatest Piano Of Them All","1960","Art Tatum","Works Of Art","1975","Art Tatum","Art Tatum","1984","Art Tatum","His Best Recordings 1933-1944","1995","Art Tatum","In Chronology - 1934-1940","2009","Art Tatum","Chefs D'oeuvre Du Jazz N°22 - Le Magicien Du Jazz",NA,"Art Tatum","Body And Soul / Basin Street Blues","1944","Coleman Hawkins And His Orchestra / Metropolitan Opera House Jam Session","The Smithsonian Collection Of Classic Jazz","1973","Various","The Legendary 1956 Session","1990","Art Tatum Trio / Red Callender / Jo Jones","Jazz Piano Masters","2005","Various","I Know That You Know / The Man I Love",NA,"Art Tatum Trio","Greatest Esquire's Swing Sessions - Jazz Of The World War 2nd","1971","Various","Stormy Weather (1933)","1983","Various","A Taste Of Jazz - Mellow & Warm","1992","Various","Jazz","1996","Various","The Jazz Giants Play Jerome Kern - Yesterdays","1998","Various","Music For Sunday Mornings","2001","Various","Best Of V Disc","2004","Various","Best Jazz Piano Standards 100","2006","Various","Simply Jazz","2012","Various","Polydor Sampler",NA,"Various","David Axelrod – The Solid Steel Interview",NA,"Love Me / Cocktails For Two","42"
"43","The Genius Of Art Tatum # 4","1954","Art Tatum","Night And Day / Where Or When","1960","Art Tatum, Ben Webster","The Tatum Solo Masterpieces, Vol. 1","1975","Art Tatum","Pure Genius","1984","Art Tatum","Body And Soul","1995","Art Tatum","Tea For Two","2009","Art Tatum","I Cover The Waterfront / I Got A Right To Sing The Blues",NA,"Art Tatum","Art Tatum Trio","1944","Art Tatum Trio","Black And White Jazz Catalog","1973","Various","Live","1990","Various","Dear Old Southland","2005","Coleman Hawkins","Jazz Sampler",NA,"Various","Kings Of Jazz","1971","Various","The Great Pianists Meet Boogie Woogie (Vol. 4)","1984","Various","Don Burrow's Best - A Collection Of Australian And International Jazz","1992","Various","Isn't It Romantic?/ The Rodgers & Hart Songbook","1996","Various","Jazz  The Essential Collection Vol. 2","1998","Various","Jazz On Movies","2001","Various","September 2004 New Releases","2004","Various","Smooth Jazz","2006","Various","300 Hits (Saturday Night Party)","2012","Various","Pablo Records In-Store Sampler Volume III",NA,"Various","Unreleased Performances","Various","Star Dust / Beautiful Love","43"
"44","The Genius Of Art Tatum # 15","1955","Art Tatum","The Art Tatum Piano Discoveries, Volume 2","1960","Art Tatum","Art Tatum","1975","Art Tatum","Master Of Jazz","1984","Art Tatum","Trio Days","1995","Art Tatum","Centennial Celebration","2009","Art Tatum","Art Tatum",NA,"Art Tatum","Mop Mop / Rose Room","1944","Esquire All Stars","Benny Goodman And The Modernists 1934-35","1973","Benny Goodman","Satchmo Meets Big T","1990","Louis Armstrong & Jack Teagarden","The Bebop Years","2006","Coleman Hawkins","The World Of Jazz Piano",NA,"Various","Metropolitan Opera House Jam Session (January 18, 1944)","1971","Various","Jazz piano 2","1984","Various","Capitol Jazz 50th Anniversary Collection","1992","Various","Masters Of Jazz The History Series Special Sampler","1996","Various","Jazz for Dummies","1998","Various","The Second Esquire Jazz Concert","2001","Various, Louis Armstrong And The All Stars*","Knut Borge presenterer sine jazzfavoritter","2004","Various","Boogie Woogie Piano Vol. 2 New York - Chicago - Los Angeles - New Orleans 1938-1954","2007","Various","Swing In The Films Of Woody Allen","2013","Various","Il Pianoforte: I Più Grandi Pianisti Di Tutti I Tempi!",NA,"Various","Hooray For Oscar Peterson And Art Tatum","Various","The Shout / After You've Gone","44"
