Date_Clean2,Address_Clean,Type_Clean1
6/27/15,4850 Virginia Road 17011,Access Device Fraud
1/14/15,4850 East Trindle Road 17011,Burglary
3/22/16,4850 Carlisle Pike 17011,Criminal Mischief
5/17/15,4850 Carlisle Pike 17011,Criminal Mischief
12/23/16,4850 East Trindle Road 17011,Driving Under the Influence
9/3/15,4850 Creekview Road 17011,Driving Under the Influence
3/14/15,4850 East Trindle Road 17011,Driving Under the Influence
1/17/15,4850 Carlisle Pike 17011,Driving Under the Influence 
4/16/15,4850 Carlisle Pike 17011,Driving Under the Influence 
8/7/15,4850 Carlisle Pike 17011,Driving Under the Influence 
3/22/15,4850 Carlisle Pike 17011,Driving Under the Influence 
6/1/16,4850 East Trindle Road 17011,Harassment
11/17/16,4850 Brian Road 17011,Identity Theft
10/13/15,4850 Charles Road 17011,Identity Theft
2/4/16,4850 East Trindle Road 17011,Prohibited Acts; Penalties
3/14/15,4850 East Trindle Road 17011,Prohibited Acts; Penalties
3/8/15,4850 East Trindle Road 17011,Prohibited Acts; Penalties
11/11/16,4850 Carlisle Pike 17011,Prohibited Acts; Penalties 
5/8/16,4850 East Trindle Road 17011,Prohibited Acts; Penalties 
8/18/15,4850 Carlisle Pike 17011,Prohibited Acts; Penalties 
7/5/15,4850 Brian Road 17011,Public Drunkenness
8/5/15,4850 East Trindle Road 17011,Simple Assault
3/30/15,4850 Brian Road 17011,Terroristic Threats
7/1/16,4850 Delbrook Road 17011,Theft by Unlawful Taking
12/4/15,4850 Carlisle Pike 17011,Theft by Unlawful Taking
11/9/15,4850 Carlisle Pike 17011,Theft by Unlawful Taking
11/9/15,4850 East Trindle Road 17011,Theft by Unlawful Taking
10/18/15,4850 East Trindle Road 17011,Theft by Unlawful Taking
5/25/15,4850 Delbrook Road 17011,Theft by Unlawful Taking
8/20/16,4850 Carlisle Pike 17011,Theft from a Motor Vehicle
6/28/16,4850 Charles Road 17011,Theft from a Motor Vehicle
1/17/16,4850 Carlisle Pike 17011,Theft from a Motor Vehicle
4/2/16,4850 East Trindle Road 17011,Theft of a Motor Vehicle
6/9/16,4950 Charles Road 17011,Access Device Fraud
5/13/16,4950 Carlisle Pike 17011,Accidents Involving Damage to Attended Vehicle
10/17/16,4950 Carlisle Pike 17011,Driving Under the Influence
9/11/15,4950 East Trindle Road 17011,Driving Under the Influence
1/6/16,4950 Woodland Drive 17011,Driving Under the Influence 
5/10/15,4950 Carlisle Pike 17011,Driving Under the Influence 
9/11/15,4950 Erb’s Bridge Road 17011,Harassment 
4/28/15,4950 Carlisle Pike 17011,Prohibited Acts; Penalties
4/21/15,4950 Woodland Drive 17011,Public Drunkenness
12/13/15,4950 Carlisle Pike 17011,Theft from a Motor Vehicle
8/28/15,4950 Carlisle Pike 17011,Theft from a Motor Vehicle
3/19/15,4950 Woodland Drive 17011,Theft from a Motor Vehicle
4/25/15,4950 Carlisle Pike 17011,Theft of a Motor Vehicle
9/28/16,5050 Apache Drive 17011,Access Device Fraud
6/4/16,5050 Apache Drive 17011,Access Device Fraud
9/28/15,5050 Shetland Court 17011,Access Device Fraud
9/2/15,5050 Erb’s Bridge Road 17011,Access Device Fraud
7/6/15,5050 East Trindle Road 17011,Access Device Fraud
10/6/15,5050 Pellingham Circle 17011,Criminal Mischief
3/6/15,5050 East Trindle Road 17011,Driving Under the Influence
12/13/15,5050 East Trindle Road 17011,Driving Under the Influence 
5/1/15,5050 East Trindle Road 17011,Harassment 
10/2/16,5050 Turtle Lane 17011,Identity Theft
4/8/15,5050 Seneca Drive 17011,Identity Theft
2/27/15,5050 Inverness Drive 17011,Identity Theft
12/5/15,5050 Amelias Path West 17011,PFA Violation 
6/2/16,5050 Hampden Park Drive 17011,Prohibited Acts; Penalties
5/19/16,5050 Greenwood Circle 17011,Prohibited Acts; Penalties
5/22/16,5050 Trindle Road 17011,Prohibited Acts; Penalties 
5/10/15,5050 Carlisle Pike 17011,Prohibited Acts; Penalties 
1/25/15,5050 Hampden Park Drive 17011,Public Drunkenness
2/4/16,5050 Pellingham Circle 17011,Public Drunkenness 
11/11/15,5050 Amelias Path West 17011,Simple Assault 
7/13/15,5050 Amelias Path West 17011,Theft by Unlawful Taking
7/24/15,5050 Seneca Drive 17011,Theft from a Motor Vehicle
4/15/15,5050 Greenwood Circle 17011,Theft from a Motor Vehicle
11/29/16,5150 East Trindle Road 17011,Access Device Fraud
9/26/16,5150 East Trindle Road 17011,Access Device Fraud
6/17/16,5150 Mendenhall Drive 17011,Access Device Fraud
6/6/15,5150 Jennifer Circle 17011,Access Device Fraud
2/3/15,5150 Simpson Ferry Road 17011,Driving Under the Influence
1/12/15,5150 Carlisle Pike 17011,Driving Under the Influence 
3/24/15,5150 Carlisle Pike 17011,Fleeing or Eluding Police
5/8/15,5150 East Trindle Road 17011,Harassment
8/10/16,5150 East Trindle Road 17011,Obstructing Admin of Law
2/15/15,5150 Erbs Bridge Road 17011,Prohibited Acts; Penalties
2/4/15,5150 East Trindle Road 17011,Prohibited Acts; Penalties
5/31/16,5150 Deerfield Avenue 17011,Theft by Unlawful Taking
11/17/15,5150 South Deerfield Avenue 17011,Theft by Unlawful Taking
7/10/15,5150 Cambridge Boulevard 17011,Theft by Unlawful Taking
4/22/15,5150 Carlisle Pike 17011,Theft by Unlawful Taking
4/21/15,5150 Carlisle Pike 17011,Theft by Unlawful Taking
6/28/15,5150 Inverness Drive 17011,Theft by Unlawful Taking 
1/30/15,5150 Carlisle Pike 17011,Theft from a Motor Vehicle
11/19/16,5250 Deerfield Avenue 17011,Access Device Fraud
3/19/16,5250 Meadowbrook Drive 17011,Access Device Fraud
11/30/15,5250 Aldersgate Circle 17011,Access Device Fraud
3/27/15,5250 Meadowbrook Drive 17011,Access Device Fraud
3/7/15,5250 Deerfield Lane 17011,Access Device Fraud
4/12/16,5250 Simpson Ferry Road 17011,Criminal Mischief
9/3/16,5250 East Trindle Road 17011,Driving Under the Influence
9/3/16,5250 East Trindle Road 17011,Driving Under the Influence
9/3/16,5250 East Trindle Road 17011,Driving Under the Influence
9/3/16,5250 East Trindle Road 17011,Driving Under the Influence
5/27/16,5250 Simpson Ferry Road 17011,Driving Under the Influence
3/14/16,5250 Simpson Ferry Road 17011,Driving Under the Influence
12/19/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
12/4/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
10/31/15,5250 East Trindle Road 17011,Driving Under the Influence
8/24/15,5250 East Trindle Road 17011,Driving Under the Influence
7/24/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
5/22/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
3/11/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
3/4/15,5250 East Trindle Road 17011,Driving Under the Influence
1/4/15,5250 East Trindle Road 17011,Driving Under the Influence
11/13/16,5250 Simpson Ferry Road 17011,Driving Under the Influence
9/3/16,5250 East Trindle Road 17011,Driving Under the Influence
9/19/15,5250 Simpson Ferry Road 17011,Driving Under the Influence
8/22/16,5250 Strathmore Drive 17011,Driving Under the Influence 
6/2/16,5250 East Trindle Road 17011,Driving Under the Influence 
7/9/15,5250 East Trindle Road 17011,Driving Under the Influence 
5/19/15,5250 Carlisle Pike 17011,Driving Under the Influence 
6/16/16,5250 East Trindle Road 17011,Harassment
7/5/16,5250 Meadowbrook Drive 17011,Identity Theft
1/25/16,5250 Meadowbrook Drive 17011,Identity Theft
9/3/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
5/31/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
5/19/16,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties
4/23/16,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties
9/3/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
9/3/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
9/3/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
9/2/16,5250 East Trindle Road 17011,Prohibited Acts; Penalties
8/27/16,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties
12/5/15,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties
6/18/15,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties
11/23/16,5250 Simpson Ferry Road 17011,Prohibited Acts; Penalties 
9/21/16,5250 Simpson Ferry Road 17011,Public Drunkenness
6/11/16,5250 East Trindle Road 17011,Terroristic Threats
3/26/16,5250 Deerfield Avenue 17011,Theft by Unlawful Taking
10/28/16,5250 Strathmore Drive 17011,Theft by Unlawful Taking
12/14/15,5250 East Trindle Road 17011,Theft by Unlawful Taking
4/27/16,5250 Simpson Ferry Road 17011,Theft from a Motor Vehicle
6/29/15,5250 East Trindle Road 17011,Theft from a Motor Vehicle
6/15/15,5250 East Trindle Road 17011,Theft of a Motor Vehicle
11/27/16,5250 Meadowbrook Drive 17011,Vandalism
7/6/15,5350 Simpson Ferry Road 17011,Access Device Fraud
10/13/16,5350 East Trindle Road 17011,Driving Under the Influence
10/22/15,5350 East Trindle Road 17011,Driving Under the Influence
1/15/15,5350 East Trindle Road 17011,Driving Under the Influence
4/10/16,5350 East Trindle Road 17011,Driving Under the Influence 
2/20/15,5350 East Trindle Road 17011,Driving Under the Influence 
12/18/15,5350 Carlisle Pike 17011,Hit and Run
9/16/16,5350 Carlisle Pike 17011,PFA Violation
11/16/15,5350 Simpson Ferry Road 17011,Prohibited Acts; Penalties
12/23/16,5350 Creekview Road 17011,Prohibited Acts; Penalties 
2/2/15,5350 Simpson Ferry Road 17011,Prohibited Acts; Penalties/Public Drunkennes
1/28/16,5350 East Trindle Road 17011,Simple Assault
10/19/16,5350 Simpson Ferry Road 17011,Theft from a Motor Vehicle
2/1/16,5450 Laurie Lane 17011,Access Device Fraud
8/20/15,5450 Carlisle Pike 17011,Access Device Fraud
9/25/15,5450 Westbury Drive 17011,Driving Under the Influence
4/18/16,5450 Carlisle Pike 17011,Driving Under the Influence
12/17/15,5450 Carlisle Pike 17011,Driving Under the Influence
10/11/15,5450 Carlisle Pike 17011,Driving Under the Influence
7/9/16,5450 Carlisle Pike 17011,False ID to Law Enforcement
10/10/16,5450 Carlisle Pike 17011,Prohibited Acts; Penalties
10/20/15,5450 Carlisle Pike 17011,Prohibited Acts; Penalties
8/30/16,5450 Carlisle Pike 17011,Prohibited Acts; Penalties 
6/20/15,5450 Carlisle Pike 17011,Theft by Unlawful Taking
7/29/16,5450 Eagles Ridge Lane 17011,Theft from a Motor Vehicle
8/1/15,5450 Carlisle Pike 17011,Theft from a Motor Vehicle
9/17/15,5450 Carlisle Pike 17011,Theft of a Motor Vehicle
5/27/16,5450 Rivendale Boulevard 17011,Unlawful Use of Computer
6/3/16,5550 Carlisle Pike 17011,Access Device Fraud
6/16/15,5550 General Jenkins Drive 17011,Access Device Fraud
5/23/16,5550 Carlisle Pike 17011,Criminal Mischief
11/11/16,5550 Westbury Drive 17011,Criminal Trespass 
8/27/15,5550 Carlisle Pike 17011,Driving Under the Influence
12/26/15,5550 Carlisle Pike 17011,Driving Under the Influence 
5/22/15,5550 Carlisle Pike 17011,Driving Under the Influence 
7/4/16,5550 Carlisle Pike 17011,Driving Under the Influence 
6/2/16,5550 Carlisle Pike 17011,Driving Under the Influence 
2/26/15,5550 Bearcreek Drive 17011,Identity Theft
11/20/15,5550 Carlisle Pike 17011,Prohibited Acts; Penalties
11/14/15,5550 Carlisle Pike 17011,Prohibited Acts; Penalties
8/28/16,5550 Carlisle Pike 17011,Prohibited Acts; Penalties 
8/17/15,5550 Carlisle Pike 17011,Prohibited Acts; Penalties 
1/30/16,5550 Carlisle Pike 17011,Public Drunkenness 
8/19/15,5550 Carlisle Pike 17011,Public Drunkenness 
7/10/15,5550 Carlisle Pike 17011,Theft from a Motor Vehicle
8/27/15,5650 Charlton Way 17011,Access Device Fraud
7/6/15,5650 Carlisle Pike 17011,Driving Under the Influence 
2/26/15,5650 Pinehurst Way 17011,Identity Theft
12/27/16,5650 Creekview Road 17011,Theft by Unlawful Taking
8/5/16,5650 Barbara Drive 17011,Theft from a Motor Vehicle
10/6/15,5750 Heatherwood Court 17011,Criminal Mischief
2/22/15,5850 Carlisle Pike 17011,False ID to Law Enforcement
10/1/16,5850 Westbury Drive 17011,Theft by Unlawful Taking
12/29/16,5950 Stephens Crossing 17011,Burglary
3/10/15,5950 Stephens Crossing 17011,Criminal Trespass
5/4/16,5950 Westover Drive 17011,Vandalism
6/2/16,6050 Carlisle Pike 17011,Criminal Mischief
12/8/15,6050 Carlisle Pike 17011,Criminal Mischief
12/20/15,6050 Carlisle Pike 17011,Driving Under the Influence
3/19/16,6050 Carlisle Pike 17011,Driving Under the Influence
12/19/16,6050 Carlisle Pike 17011,Hit and Run
12/17/15,6050 Carlisle Pike 17011,Hit and Run
2/26/15,6050 Sommerton Drive 17011,Identity Theft
12/15/15,6050 Carlisle Pike 17011,Prohibited Acts; Penalties
4/1/16,6050 Carlisle Pike 17011,Public Drunkenness 
8/6/16,6050 Carlisle Pike 17011,Simple Assault
7/25/16,6050 Wertzville Road 17011,Simple Assault
1/17/16,6050 Hummingbird Drive 17011,Simple Assault 
3/2/15,6050 William Drive 17011,Theft by Unlawful Taking
1/4/15,6050 Mockingbird Drive 17011,Theft by Unlawful Taking
10/17/15,6050 Carlisle Pike 17011,Theft from a Motor Vehicle
9/29/16,6150 Galleon Drive 17011,Access Device Fraud
5/22/16,6150 Charing Cross 17011,Burglary
3/25/16,6150 Locust Lane 17011,Criminal Mischief
9/25/15,6150 Carlisle Pike 17011,Driving Under the Influence
10/12/15,6150 Sommerton Drive 17011,Identity Theft
7/12/16,6150 Stephens Crossing 17011,Identity Theft
4/17/15,6150 Haymarket Way 17011,Identity Theft
3/27/15,6150 Stephens Crossing 17011,Identity Theft
3/30/16,6150 Haymarket Way 17011,Public Drunkenness 
5/2/15,6150 Carlisle Pike 17011,Simple Assault 
12/20/16,6150 Westover Drive 17011,Theft by Unlawful Taking
3/17/16,6150 Moorgate Circle 17011,Theft by Unlawful Taking
6/5/15,6150 Souvenir Drive 17011,Theft by Unlawful Taking
6/10/16,6150 Wallingford Way 17011,Theft from a Motor Vehicle
4/17/16,6150 Log Cabin Trail 17011,Theft from a Motor Vehicle
10/22/15,6150 Carlisle Pike 17011,Theft from a Motor Vehicle
4/4/16,6250 Stanford Court 17011,Access Device Fraud
4/1/16,6250 Galleon Drive 17011,Bad Check 
2/18/16,6250 Carlisle Pike 17011,Driving Under the Influence
1/9/16,6250 Rivendale Court 17011,Driving Under the Influence 
4/16/16,6250 Carlisle Pike 17011,Driving Under the Influence 
2/12/15,6250 Carlisle Pike 17011,Forgery
7/6/15,6250 Crofton Court 17011,Identity Theft
3/26/15,6250 Galleon Drive 17011,Prohibited Acts; Penalties
8/3/16,6250 Carlisle Pike 17011,Prohibited Acts; Penalties 
3/29/16,6250 Carlisle Pike 17011,Prohibited Acts; Penalties 
5/19/16,6250 Carlisle Pike 17011,Prohibited Acts; Penalties 
5/25/16,6250 Stanford Court 17011,Simple Assault
2/22/16,6250 Westover Drive 17011,Theft by Unlawful Taking
11/29/15,6250 Charing Cross 17011,Theft by Unlawful Taking
6/17/15,6250 Smith Drive 17011,Theft by Unlawful Taking
10/23/15,6250 Crofton Court 17011,Theft from a Motor Vehicle
6/1/16,6350 Chesterfield Lane 17011,Access Device Fraud
2/19/16,6350 Chesterfield Lane 17011,Access Device Fraud
2/14/16,6350 Creekbend Drive 17011,Access Device Fraud
11/11/15,6350 Carlisle Pike 17011,Criminal Mischief
10/22/16,6350 Carlisle Pike 17011,Driving Under the Influence
12/14/15,6350 Carlisle Pike 17011,Driving Under the Influence
3/15/15,6350 Locust Lane 17011,Driving Under the Influence 
1/12/15,6350 Locust Lane 17011,Driving Under the Influence 
7/22/16,6350 Carlisle Pike 17011,Fleeing or Eluding Police
7/15/15,6350 Galleon Drive 17011,Fraud
6/7/15,6350 Galleon Drive 17011,Harassment 
8/11/16,6350 North Powderhorn Road 17011,Identity Theft
8/1/16,6350 Mercury Drive 17011,PFA Violation
2/26/15,6350 Carlisle Pike 17011,Prohibited Acts; Penalties 
2/17/15,6350 Mercury Drive 17011,Prohibited Acts; Penalties 
10/6/16,6350 Carlisle Pike 17011,Robbery
5/26/16,6350 Wertzville Road 17011,Theft by Unlawful Taking
9/23/15,6350 Galleon Drive 17011,Theft by Unlawful Taking
8/15/15,6350 Brandy Lane 17011,Theft by Unlawful Taking
2/25/15,6350 Stephens Crossing 17011,Theft by Unlawful Taking
1/14/16,6350 Galleon Drive 17011,Theft from a Motor Vehicle
11/5/15,6350 Peregrine Way 17011,Theft from a Motor Vehicle
3/12/15,6350 Galleon Drive 17011,Theft from a Motor Vehicle
2/4/15,6350 Run Cross Lane 17011,Theft from a Motor Vehicle
1/15/15,6450 Creekbend Drive 17011,Access Device Fraud
2/8/15,6450 Glenwood Street 17011,Burglary
2/8/15,6450 Cannon Drive 17011,Burglary
4/19/16,6450 Carlisle Pike 17011,Driving Under the Influence
7/22/16,6450 Glenwood Street 17011,Simple Assault
5/8/16,6450 Wertzville Road 17011,Simple Assault
8/30/15,6450 Glenwood Street 17011,Simple Assault
7/24/16,6450 Creekbend Drive 17011,Theft from a Motor Vehicle
2/16/16,6450 Glenwood Street 17011,Unauthorized Use 
9/4/16,6550 Salem Park Circle 17011,Theft by Unlawful Taking
4/6/16,150 Devonshire Square 17011,Access Device Fraud
10/21/15,150 Old Farm Road 17011,Access Device Fraud
6/22/15,150 Lori Circle 17011,Access Device Fraud
3/13/15,150 Kensington Square 17011,Access Device Fraud
12/27/16,150 Skyport Road 17011,Burglary
5/4/16,150 Central Boulevard 17011,Burglary
3/31/16,150 Salem Church Road 17011,Burglary
3/30/16,150 Salem Church Road 17011,Burglary
11/7/15,150 Salem Church Road 17011,Burglary
3/9/15,150 Kevin Road 17011,Burglary
7/4/16,150 Dogwood Court 17011,Criminal Mischief
11/5/15,150 Devonshire Square 17011,Criminal Mischief
6/25/15,150 Salem Church Road 17011,Criminal Mischief 
7/27/16,150 Lois Lane 17011,Forgery
12/7/16,150 Mandy Court 17011,Identity Theft
9/6/16,150 Kevin Road 17011,Identity Theft
8/24/16,150 Shireton Place 17011,Identity Theft
10/10/15,150 Old Pioneer Road 17011,Prohibited Acts; Penalties
11/16/15,150 Salem Church Road 17011,Prohibited Acts; Penalties 
5/15/16,150 Skyport Road 17011,Prohibited Acts; Penalties 
11/17/16,150 Sunset Circle 17011,Simple Assault
9/19/16,150 Salem Church Road 17011,Simple Assault
7/30/16,150 Linden Court 17011,Simple Assault
6/25/16,150 Holtz Road 17011,Simple Assault
9/20/15,150 Round Hill Road 17011,Simple Assault
1/19/15,150 S 39th Street 17011,Simple Assault
3/8/16,150 Village Court 17011,Simple Assault 
11/12/15,150 Dogwood Court 17011,Simple Assault 
7/5/15,150 Oak Avenue 17011,Terroristic Threats
6/2/16,150 Vine Circle 17011,Theft by Deception
10/28/15,150 Oak Avenue 17011,Theft by Deception
12/16/16,150 Salem Church Road 17011,Theft by Unlawful Taking
9/11/16,150 Salem Church Road 17011,Theft by Unlawful Taking
5/19/16,150 Round Hill Road 17011,Theft by Unlawful Taking
12/25/15,150 Kensington Square 17011,Theft by Unlawful Taking
12/2/15,150 Round Hill Road 17011,Theft by Unlawful Taking
11/21/15,150 Gateway Drive 17011,Theft by Unlawful Taking
8/10/15,150 Salem Church Road 17011,Theft by Unlawful Taking
7/14/15,150 Salem Church Road 17011,Theft by Unlawful Taking
2/10/15,150 Jamestown Square 17011,Theft by Unlawful Taking
2/29/16,150 Maybelle Court 17011,Theft from a Motor Vehicle
10/22/15,150 Chestnut Circle 17011,Theft from a Motor Vehicle
6/4/15,150 Gateway Drive 17011,Theft from a Motor Vehicle
8/10/15,150 Salem Church Road 17011,Vandalism
10/19/16,101 Lambs Gap Road (Twin Ponds) 17011,Theft by Unlawful Taking
7/11/16,105 South Sporting Hill Road (CVS) 17011,Prohibited Acts; Penalties
5/22/15,105 South Sporting Hill Road (CVS) 17011,Retail Theft
2/14/16,105 S Sporting Hill Road (CVS) 17011,Robbery
9/24/16,115 St Johns Church Road (Euphoria Hair and Salon) 17011,Burglary
1/7/15,125 Gateway Drive (Bankok Wok) 17011,Counterfeit/Forgery
1/30/16,125 Gateway Drive (Bankok Wok) 17011,Theft by Unlawful Taking
12/30/16,141 Salem Church Road (Fetrow Electric) 17011,Theft by Unlawful Taking
11/15/15,146 Salem Church Road (Edo’s Trucking) 17011,Theft of a Motor Vehicle
7/28/16,230 South Sporting Hill Road (Capital Area Regional Council of Governments) 17011,Bad Check
3/21/16,301 Railroad Avenue (Site One Landscaping) 17011,Burglary
3/17/15,301 Railroad Avenue (John Deere Landscape) 17011,Forgery
9/6/16,301 Railroad Avenue (Palogix) 17011,Theft by Unlawful Taking
5/3/16,301 Railroad Avenue (Palogix) 17011,Theft by Unlawful Taking
10/19/16,405 St Johns Church Road (Apria Healthcare) 17011,Theft by Unlawful Taking
9/12/16,405 St Johns Church Road (Apria Healthcare) 17011,Theft by Unlawful Taking
2/12/16,410 Fallowfield Road (YMCA) 17011,Criminal Mischief
9/19/16,410 Fallowfield Road (YMCA) 17011,Theft by Unlawful Taking
5/1/16,410 Fallowfield Road (YMCA) 17011,Theft by Unlawful Taking
4/14/16,410 Fallowfield Road (YMCA) 17011,Theft by Unlawful Taking
10/30/15,410 St Johns Church Road (Coliseum) 17011,Theft by Unlawful Taking
10/6/15,410 Fallowfield Road (YMCA) 17011,Theft by Unlawful Taking
1/6/15,410 St Johns Church Road (Coliseum) 17011,Theft by Unlawful Taking
11/23/15,410 St Johns Church Road (Coliseum) 17011,Theft by Unlawful Taking 
2/8/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/25/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/17/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/15/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/13/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/4/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
1/3/16,410 Fallowfield Road (YMCA) 17011,Theft from a Motor Vehicle
4/23/15,410 Fallowfield Road 17011,Theft from a Motor Vehicle
7/8/15,410 St Johns Church Road (Coliseum) 17011,Theft of Services
6/25/15,415 St Johns Church Road (Method 3) 17011,Theft by Unlawful Taking 
5/6/15,420 Salem Church Road (Glosser Steel) 17011,Theft by Unlawful Taking
11/11/16,420 St Johns Church Road (Westys) 17011,Theft from a Motor Vehicle
11/19/15,431 Railroad Avenue (Rite Aid) 17011,Theft by Unlawful Taking
6/16/16,451 Freight Street (Paul Miller Trucking) 17011,Access Device Fraud
8/18/15,451 Skyport Road (Good Hope Middle School) 17011,Criminal Trespass
8/8/16,458 Pawnee Drive (Indian Creek Pool) 17011,Theft by Unlawful Taking
12/29/16,460 Sterling Street (ECD) 17011,Theft by Deception 
1/22/16,460 Sterling Street (Damco) 17011,Theft by Unlawful Taking 
11/17/16,699 East Simpson Street (Palmer Automotive) 17011,Burglary
1/11/16,701 East Locust Street (Spankys) 17011,Bad Check 
10/26/15,1100 Grandon Way (Brookdale Retirement Home) 17011,Theft by Unlawful Taking
10/22/15,1100 of Grandon Way 17011,Theft by Unlawful Taking
10/17/16,1410 Good Hope Road (Faith Tabernacle School) 17011,Institutional Vandalism
12/18/16,1700 Adeline Drive 17011,Theft by Unlawful Taking
4/7/15,1806 Lambs Gap Road (Lambs Gap Animal Hospital) 17011,Bad Check 
12/24/15,1995 Technology Parkway (West Shore Hospital) 17011,Terroristic Threats
6/4/15,1995 Technology Parkway (West Shore Hospital) 17011,Theft by Unlawful Taking
6/2/15,1995 Technology Parkway (West Shore Hospital) 17011,Theft by Unlawful Taking
4/27/15,2020 Technology Parkway (Novitas Solutions) 17011,Theft by Unlawful Taking
11/20/15,2025 Technology Parkway (Good Day Pharmacy) 17011,Robbery
1/30/15,2055 Technology Parkway (Holiday Inn Express) 17011,Criminal Mischief
5/12/16,2060 Good Hope Road (Turkey Hill) 17011,Robbery
6/24/15,2060 Good Hope Road (Turkey Hill) 17011,Robbery
12/9/16,2060 Good Hope Road (Turkey Hill) 17011,Theft by Unlawful Taking
6/4/16,2240 Millenium Way (Als of Hampden) 17011,Theft from a Motor Vehicle
7/21/16,2385 Wertz Lane (Kreitzers Automotive) 17011,Theft by Unlawful Taking
8/6/15,3431 Simpson Ferry Road (Cinema Center) 17011,Disorderly Conduct 
9/24/16,3431 Simpson Ferry Road (Cinema Center) 17011,Theft by Deception
7/11/16,3431 Simpson Ferry Road (Aarons) 17011,Theft by Unlawful Taking
2/24/16,3431 Simpson Ferry Road (Aarons) 17011,Theft by Unlawful Taking
3/20/16,3431 Simpson Ferry Road (Cinema Center) 17011,Theft from a Motor Vehicle
8/2/15,3431 Simpson Ferry Road (Cinema Center) 17011,Theft from a Motor Vehicle
3/27/15,3442 Simpson Ferry Road (John H Myers) 17011,Bad Check
8/28/15,3442 Simpson Ferry Road (John H Myers) 17011,Bad Check 
7/17/16,3447 Simpson Ferry Road (Play and Trade Video) 17011,Access Device Fraud
1/11/15,3449 Simpson Ferry Road (Lower Allen Diner) 17011,Theft by Unlawful Taking
1/21/15,3451 Simpson Ferry Road (Mid South Building Supply) 17011,Bad Check 
11/10/16,3500 East Trindle Road (Belco) 17011,Theft by Deception 
6/2/16,3512 Market Street (Members 1st) 17011,Bad Check
12/30/16,3512 Market Street (Members 1st) 17011,Bad Check 
2/2/16,3512 Market Street (Members 1st) 17011,Bad Check 
12/29/15,3512 Market Street (Members 1st) 17011,Bad Check 
10/22/15,3512 Market Street (Members 1st) 17011,Bad Check 
7/1/15,3512 Market Street (Members 1st) 17011,Bad Check 
6/9/15,3512 Market Street (Members 1st) 17011,Bad Check 
7/5/16,3512 Market Street (Members 1st) 17011,Bad Check 
6/9/16,3512 Market Street (Members 1st) 17011,Bad Check 
9/16/15,3512 Market Street (Members 1st) 17011,Counterfeit/Forgery 
7/13/16,3512 Market Street (Members 1st) 17011,Theft by Deception 
3/23/15,3512 Market Street (Members 1st) 17011,Theft by Unlawful Taking
3/3/15,3512 Trindle Road (West Shore Hearing Center) 17011,Theft by Unlawful Taking
12/5/16,3512 Market Street (Members 1st) 17011,Unlawful Use of Computer
10/21/16,3543 Simpson Ferry Road (Foot Locker) 17011,Theft by Unlawful Taking
7/7/16,3543 Simpson Ferry Road (Foot Locker) 17011,Theft by Unlawful Taking
7/13/15,3543 Simpson Ferry Road (Foot Locker) 17011,Theft by Unlawful Taking
5/24/16,3543 Simpson Ferry Road (Foot Locker) 17011,Theft by Unlawful Taking 
7/8/15,3543 Simpson Ferry Road (Foot Locker) 17011,Theft by Unlawful Taking 
8/31/15,3705 East Trindle Road (Glace Associates) 17011,Criminal Mischief
7/6/15,3721 Market Street (ABC Brewery) 17011,Access Device Fraud
2/8/16,3730 Market Street (Hello Gorgeous) 17011,Retail Theft
11/15/16,3780 Trindle Road (Mountz Jewelers) 17011,Access Device Fraud
6/2/16,3806 Market Street (Susquehanna Seniors LLC) 17011,Forgery
3/2/15,3809 East Trindle Road (Jack Williams Tire and Auto) 17011,Bad Check 
11/4/15,3901 Trindle Road (Salvation Army) 17011,Theft by Unlawful Taking
10/22/15,3901 Trindle Road (Salvation Army) 17011,Theft by Unlawful Taking
3/11/15,3907 Market Street (Members 1st) 17011,Theft by Deception
11/16/16,3925 Trindle Road (RT Grimm) 17011,Access Device Fraud 
7/7/15,3925 East Trindle Road (RT Grim) 17011,Bad Check 
1/6/16,4230 Trindle Road (McDonalds) 17011,Public Drunkenness 
9/4/15,4230 Trindle Road (McDonalds) 17011,Theft by Unlawful Taking
