RawData,Date,Date_Clean,Date_Clean2,Location,Location_Clean1,Type,Type_Clean1,Lat,Lon,FindLocationStart,FindLocationLength,TypeStart,AreThereParen?,,,,,,,,,,,
"January 16, 2015     400 block of Pawnee Drive           Criminal Mischief","January 16, 2015",42020,01/16/15,400 block of Pawnee Drive 17011,#VALUE!,Criminal Mischief,Criminal Mischief,#VALUE!,,19,28,47,,,,,,,,,,,,
"June 26, 2015     4608 Carlisle Pike (Adam Auto Group)           Criminal Mischief    D","June 26, 2015",42181,06/26/15,4608 Carlisle Pike (Adam Auto Group) 17011,4608 Carlisle Pike  17011,Criminal Mischief D,Criminal Mischief ,#VALUE!,,16,39,55,,,,,,,,,,,,
"June 25, 2015     First block of Salem Church Road          Criminal Mischief    D","June 25, 2015",42180,06/25/15,First block of Salem Church Road 17011,#VALUE!,Criminal Mischief D,Criminal Mischief ,#VALUE!,,16,35,51,,,,,,,,,,,,
"February 15, 2015     Shaull Road/Reed Lane          Criminal Mischief     D","February 15, 2015",42050,02/15/15,Shaull Road/Reed Lane 17011,#VALUE!,Criminal Mischief D,Criminal Mischief ,#VALUE!,,20,24,44,,,,,,,,,,,,
"December 5, 2016     400 block of Berkshire Lane           Criminal Trespass","December 5, 2016",42709,12/05/16,400 block of Berkshire Lane 17011,#VALUE!,Criminal Trespass,Criminal Trespass,#VALUE!,,19,30,49,,,,,,,,,,,,
"March 19, 2016     2000 block of Good Hope Road         Criminal Trespass    D-ARREST","March 19, 2016",42448,03/19/16,2000 block of Good Hope Road 17011,#VALUE!,Criminal Trespass D-ARREST,Criminal Trespass,#VALUE!,,17,31,48,,,,,,,,,,,,
"August 19, 2015     3200 block of Louisa Lane           Criminal Trespass","August 19, 2015",42235,08/19/15,3200 block of Louisa Lane 17011,#VALUE!,Criminal Trespass,Criminal Trespass,#VALUE!,,18,28,46,,,,,,,,,,,,
"August 18, 2015     451 Skyport Road (Good Hope Middle School)          Criminal Trespass","August 18, 2015",42234,08/18/15,451 Skyport Road (Good Hope Middle School) 17011,451 Skyport Road  17011,Criminal Trespass,Criminal Trespass,#VALUE!,,18,45,63,,,,,,,,,,,,
"August 9, 2015     5130 East Trindle Road (A1 Sealcoating)          Criminal Trespass","August 9, 2015",42225,08/09/15,5130 East Trindle Road (A1 Sealcoating) 17011,5130 East Trindle Road  17011,Criminal Trespass,Criminal Trespass,#VALUE!,,17,42,59,,,,,,,,,,,,
"March 10, 2015     5900 block of Stephens Crossing           Criminal Trespass","March 10, 2015",42073,03/10/15,5900 block of Stephens Crossing 17011,#VALUE!,Criminal Trespass,Criminal Trespass,#VALUE!,,17,34,51,,,,,,,,,,,,
"March 9, 2015     200 block of St James Court           Criminal Trespass","March 9, 2015",42072,03/09/15,200 block of St James Court 17011,#VALUE!,Criminal Trespass,Criminal Trespass,#VALUE!,,16,30,46,,,,,,,,,,,,
"November 11, 2016     5500 block of Westbury Drive           Criminal Trespass    D","November 11, 2016",42685,11/11/16,5500 block of Westbury Drive 17011,#VALUE!,Criminal Trespass D,Criminal Trespass ,#VALUE!,,20,31,51,,,,,,,,,,,,
"November 12, 2015     800 block of Meadow Lane           Criminal Trespass     D","November 12, 2015",42320,11/12/15,800 block of Meadow Lane 17011,#VALUE!,Criminal Trespass D,Criminal Trespass ,#VALUE!,,20,27,47,,,,,,,,,,,,
"August 6, 2015     3431 Simpson Ferry Road (Cinema Center)          Disorderly Conduct    D","August 6, 2015",42222,08/06/15,3431 Simpson Ferry Road (Cinema Center) 17011,3431 Simpson Ferry Road  17011,Disorderly Conduct D,Disorderly Conduct ,#VALUE!,,17,42,59,,,,,,,,,,,,
"August 2, 2015     Crossgates Drive/Carlisle Pike          Disorderly Conduct    D","August 2, 2015",42218,08/02/15,Crossgates Drive/Carlisle Pike 17011,#VALUE!,Disorderly Conduct D,Disorderly Conduct ,#VALUE!,,17,33,50,,,,,,,,,,,,
"December 24, 2015     6054 Carlisle Pike (Sheetz)          Disorderly Conduct/Public Drunkenness    D","December 24, 2015",42362,12/24/15,6054 Carlisle Pike (Sheetz) 17011,6054 Carlisle Pike  17011,Disorderly Conduct/Public Drunkenness,Disorderly Conduct/Public Drunkenness,#VALUE!,,20,30,50,,,,,,,,,,,,
"May 30, 2015     900 block of Willshire          Drive Access Device Fraud","May 30, 2015",42154,05/30/15,900 block of Willshire 17011,#VALUE!,Drive Access Device Fraud,Drive Access Device Fraud,#VALUE!,,15,25,40,,,,,,,,,,,,
"June 10, 2016     Carlisle Pike/Gateway         Drive Driving Under the Influence    D-ARREST","June 10, 2016",42531,06/10/16,Carlisle Pike/Gateway 17011,#VALUE!,Drive Driving Under the Influen,Driving Under the Influence,#VALUE!,,16,24,40,,,,,,,,,,,,
"December 26, 2016     Carlisle Pike/Crossgates           Drive Driving Under the Influence    D-ARREST","December 26, 2016",42730,12/26/16,Carlisle Pike/Crossgates 17011,#VALUE!,Drive Driving Under the Influence,Driving Under the Influence,,,20,27,47,0,,,,,,,,,,,
"October 26, 2016     Brookridge Drive/Willcliff         Drive Driving Under the Influence    D-ARREST","October 26, 2016",42669,10/26/16,Brookridge Drive/Willcliff 17011,#VALUE!,Drive Driving Under the Influence D-,Driving Under the Influence,#VALUE!,,19,29,48,,,,,,,,,,,,
"October 22, 2016     Carlisle Pike/Van Patton         Drive Driving Under the Influence    D-ARREST","October 22, 2016",42665,10/22/16,Carlisle Pike/Van Patton 17011,#VALUE!,Drive Driving Under the Influence,Driving Under the Influence,#VALUE!,,19,27,46,,,,,,,,,,,,
"December 21, 2015     4700 block of North Clearview           Drive Driving Under the Influence    D-ARREST","December 21, 2015",42359,12/21/15,4700 block of North Clearview 17011,#VALUE!,Drive Driving Under the Influence D-AR,Driving Under the Influence,#VALUE!,,20,32,52,,,,,,,,,,,,
"December 23, 2016     Central Boulevard/Trindle Road           Driving Under the Influence    D-ARREST","December 23, 2016",42727,12/23/16,Central Boulevard/Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,33,53,0,,,,,,,,,,,
"December 23, 2016     4800 block of East Trindle Road          Driving Under the Influence    D-ARREST","December 23, 2016",42727,12/23/16,4800 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,0,,,,,,,,,,,
"December 22, 2016     Orrs Bridge Road/Lamp Post Lane          Driving Under the Influence    D-ARREST","December 22, 2016",42726,12/22/16,Orrs Bridge Road/Lamp Post Lane 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,0,,,,,,,,,,,
"December 12, 2016     1200 block of Highlander Way           Driving Under the Influence    D-ARREST","December 12, 2016",42716,12/12/16,1200 block of Highlander Way 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,31,51,0,,,,,,,,,,,
"December 5, 2016     Motter Lane/N St Johns Drive          Driving Under the Influence    D-ARREST","December 5, 2016",42709,12/05/16,Motter Lane/N St Johns Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,31,50,,,,,,,,,,,,
"October 23, 2016     Market Street/N 36th Street         Driving Under the Influence    D-ARREST","October 23, 2016",42666,10/23/16,Market Street/N 36th Street 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,30,49,,,,,,,,,,,,
"October 22, 2016     6300 block of Carlisle Pike         Driving Under the Influence    D-ARREST","October 22, 2016",42665,10/22/16,6300 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,30,49,,,,,,,,,,,,
"October 17, 2016     4900 block of Carlisle Pike         Driving Under the Influence    D-ARREST","October 17, 2016",42660,10/17/16,4900 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,30,49,,,,,,,,,,,,
"October 16, 2016     Creekview Road/Lambs Gap Road         Driving Under the Influence    D-ARREST","October 16, 2016",42659,10/16/16,Creekview Road/Lambs Gap Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,32,51,,,,,,,,,,,,
"October 16, 2016     Carlisle Pike/Lighthouse Drive          Driving Under the Influence    D-ARREST","October 16, 2016",42659,10/16/16,Carlisle Pike/Lighthouse Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,33,52,,,,,,,,,,,,
"October 13, 2016     5300 block of East Trindle Road          Driving Under the Influence    D-ARREST","October 13, 2016",42656,10/13/16,5300 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,34,53,,,,,,,,,,,,
"October 3, 2016     Technology Parkway/Wertzville Road           Driving Under the Influence    D-ARREST","October 3, 2016",42646,10/03/16,Technology Parkway/Wertzville Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,37,55,,,,,,,,,,,,
"October 2, 2016     4600 block of East Trindle Road           Driving Under the Influence    D-ARREST","October 2, 2016",42645,10/02/16,4600 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,34,52,,,,,,,,,,,,
"September 16, 2016     East Trindle Road/Sheely Lane          Driving Under the Influence    D-ARREST","September 16, 2016",42629,09/16/16,East Trindle Road/Sheely Lane 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,21,32,53,,,,,,,,,,,,
"September 10, 2016     East Trindle Road/Sheely Lane           Driving Under the Influence    D-ARREST","September 10, 2016",42623,09/10/16,East Trindle Road/Sheely Lane 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,21,32,53,,,,,,,,,,,,
"September 3, 2016     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","September 3, 2016",42616,09/03/16,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,,,,,,,,,,,,
"September 3, 2016     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","September 3, 2016",42616,09/03/16,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,,,,,,,,,,,,
"September 3, 2016     5200 block of East Trindle Road           Driving Under the Influence    D-ARREST","September 3, 2016",42616,09/03/16,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,,,,,,,,,,,,
"September 3, 2016     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","September 3, 2016",42616,09/03/16,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,,,,,,,,,,,,
"September 2, 2016     Market Street/S 36th Street          Driving Under the Influence    D-ARREST","September 2, 2016",42615,09/02/16,Market Street/S 36th Street 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,30,50,,,,,,,,,,,,
"August 11, 2016     4600 block of East Trindle Road         Driving Under the Influence    D-ARREST","August 11, 2016",42593,08/11/16,4600 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,34,52,,,,,,,,,,,,
"July 29, 2016     4600 block of East Trindle Road         Driving Under the Influence    D-ARREST","July 29, 2016",42580,07/29/16,4600 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"July 22, 2016     Orrs Bridge Road/Creekview Road         Driving Under the Influence    D-ARREST","July 22, 2016",42573,07/22/16,Orrs Bridge Road/Creekview Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"July 9, 2016     400 block of St Johns Church Road         Driving Under the Influence    D-ARREST","July 9, 2016",42560,07/09/16,400 block of St Johns Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,15,36,51,,,,,,,,,,,,
"June 20, 2016     300 block of Silver Spring Road         Driving Under the Influence    D-ARREST","June 20, 2016",42541,06/20/16,300 block of Silver Spring Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"May 28, 2016     Trindle Road/St Johns Church Road          Driving Under the Influence    D-ARREST","May 28, 2016",42518,05/28/16,Trindle Road/St Johns Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,15,36,51,,,,,,,,,,,,
"May 27, 2016     5200 block of Simpson Ferry Road         Driving Under the Influence    D-ARREST","May 27, 2016",42517,05/27/16,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,15,35,50,,,,,,,,,,,,
"May 24, 2016     400 block of St Johns Church Road         Driving Under the Influence    D-ARREST","May 24, 2016",42514,05/24/16,400 block of St Johns Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,15,36,51,,,,,,,,,,,,
"April 30, 2016     E Main Street/N Walnut Street         Driving Under the Influence    D-ARREST","April 30, 2016",42490,04/30/16,E Main Street/N Walnut Street 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,32,49,,,,,,,,,,,,
"April 15, 2016     Market Street/Central Boulevard         Driving Under the Influence    D-ARREST","April 15, 2016",42475,04/15/16,Market Street/Central Boulevard 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,34,51,,,,,,,,,,,,
"April 14, 2016     Orrs Bridge Road/Creekview Road         Driving Under the Influence    D-ARREST","April 14, 2016",42474,04/14/16,Orrs Bridge Road/Creekview Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,34,51,,,,,,,,,,,,
"March 14, 2016     5200 block of Simpson Ferry Road         Driving Under the Influence    D-ARREST","March 14, 2016",42443,03/14/16,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,35,52,,,,,,,,,,,,
"March 12, 2016     Valley Road/Laurel Valley Lane         Driving Under the Influence     D-ARREST","March 12, 2016",42441,03/12/16,Valley Road/Laurel Valley Lane 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,33,50,,,,,,,,,,,,
"March 11, 2016     Lambs Gap Road/Wertzville Road         Driving Under the Influence    D-ARREST","March 11, 2016",42440,03/11/16,Lambs Gap Road/Wertzville Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,33,50,,,,,,,,,,,,
"February 18, 2016     6200 block of Carlisle Pike         Driving Under the Influence    D-ARREST","February 18, 2016",42418,02/18/16,6200 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,30,50,,,,,,,,,,,,
"February 5, 2016     400 block of Orrs Bridge Road         Driving Under the Influence    D-ARREST","February 5, 2016",42405,02/05/16,400 block of Orrs Bridge Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,32,51,,,,,,,,,,,,
"January 1, 2016     Wertzville Road/Westbury Drive          Driving Under the Influence     D-ARREST","January 1, 2016",42370,01/01/16,Wertzville Road/Westbury Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,33,51,,,,,,,,,,,,
"December 20, 2015     6000 block of Carlisle Pike          Driving Under the Influence    D-ARREST","December 20, 2015",42358,12/20/15,6000 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,30,50,,,,,,,,,,,,
"December 19, 2015     5200 block of Simpson Ferry Road           Driving Under the Influence     D-ARREST","December 19, 2015",42357,12/19/15,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,35,55,,,,,,,,,,,,
"December 14, 2015     6300 block of Carlisle Pike          Driving Under the Influence    D-ARREST","December 14, 2015",42352,12/14/15,6300 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,30,50,,,,,,,,,,,,
"December 4, 2015     5200 block of Simpson Ferry Road          Driving Under the Influence     D-ARREST","December 4, 2015",42342,12/04/15,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,35,54,,,,,,,,,,,,
"November 19, 2015     Brondle Boulevard/Simie Street         Driving Under the Influence    D-ARREST","November 19, 2015",42327,11/19/15,Brondle Boulevard/Simie Street 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,33,53,,,,,,,,,,,,
"November 10, 2015     400 block of Orrs Bridge Road           Driving Under the Influence     D-ARREST","November 10, 2015",42318,11/10/15,400 block of Orrs Bridge Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,32,52,,,,,,,,,,,,
"October 31, 2015     5200 block of East Trindle Road          Driving Under the Influence     D-ARREST","October 31, 2015",42308,10/31/15,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,34,53,,,,,,,,,,,,
"October 22, 2015     5300 block of East Trindle Road          Driving Under the Influence    D-ARREST","October 22, 2015",42299,10/22/15,5300 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,34,53,,,,,,,,,,,,
"September 30, 2015     4100 block of Kittatinny Drive          Driving Under the Influence    D-ARREST","September 30, 2015",42277,09/30/15,4100 block of Kittatinny Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,21,33,54,,,,,,,,,,,,
"September 25, 2015     6100 block of Carlisle Pike          Driving Under the Influence     D-ARREST","September 25, 2015",42272,09/25/15,6100 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,21,30,51,,,,,,,,,,,,
"September 25, 2015     5400 block of Westbury Drive          Driving Under the Influence    D-ARREST","September 25, 2015",42272,09/25/15,5400 block of Westbury Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,21,31,52,,,,,,,,,,,,
"September 3, 2015     4800 block of Creekview Road          Driving Under the Influence    D-ARREST","September 3, 2015",42250,09/03/15,4800 block of Creekview Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,31,51,,,,,,,,,,,,
"August 24, 2015     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","August 24, 2015",42240,08/24/15,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,34,52,,,,,,,,,,,,
"August 14, 2015     Good Hope Road/Wertzville Road          Driving Under the Influence    D-ARREST","August 14, 2015",42230,08/14/15,Good Hope Road/Wertzville Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,33,51,,,,,,,,,,,,
"August 2, 2015     Carlisle Pike/Salem Church Road          Driving Under the Influence    D-ARREST","August 2, 2015",42218,08/02/15,Carlisle Pike/Salem Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,34,51,,,,,,,,,,,,
"July 26, 2015     Creekview Road/Coppercreek Drive          Driving Under the Influence    D-ARREST","July 26, 2015",42211,07/26/15,Creekview Road/Coppercreek Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,35,51,,,,,,,,,,,,
"July 24, 2015     5200 block of Simpson Ferry Road          Driving Under the Influence    D-ARREST","July 24, 2015",42209,07/24/15,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,35,51,,,,,,,,,,,,
"June 12, 2015     4500 block of East Trindle Road          Driving Under the Influence    D-ARREST","June 12, 2015",42167,06/12/15,4500 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"June 10, 2015     100 block of S Sporting Hill Road          Driving Under the Influence    D-ARREST","June 10, 2015",42165,06/10/15,100 block of S Sporting Hill Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,36,52,,,,,,,,,,,,
"May 22, 2015     5200 block of Simpson Ferry Road          Driving Under the Influence    D-ARREST","May 22, 2015",42146,05/22/15,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,15,35,50,,,,,,,,,,,,
"April 4, 2015     Trindle Road/St Johns Church Road          Driving Under the Influence    D-ARREST","April 4, 2015",42098,04/04/15,Trindle Road/St Johns Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,36,52,,,,,,,,,,,,
"March 14, 2015     4800 block of East Trindle Road           Driving Under the Influence    D-ARREST","March 14, 2015",42077,03/14/15,4800 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,34,51,,,,,,,,,,,,
"March 11, 2015     5200 block of Simpson Ferry Road           Driving Under the Influence    D-ARREST","March 11, 2015",42074,03/11/15,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,17,35,52,,,,,,,,,,,,
"March 6, 2015     5000 block of East Trindle Road          Driving Under the Influence    D-ARREST","March 6, 2015",42069,03/06/15,5000 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"March 4, 2015     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","March 4, 2015",42067,03/04/15,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,16,34,50,,,,,,,,,,,,
"February 24, 2015     4700 block of East Trindle Road          Driving Under the Influence    D-ARREST","February 24, 2015",42059,02/24/15,4700 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,34,54,,,,,,,,,,,,
"February 14, 2015     East Trindle Road/Manor Drive           Driving Under the Influence     D-ARREST","February 14, 2015",42049,02/14/15,East Trindle Road/Manor Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,20,32,52,,,,,,,,,,,,
"February 3, 2015     5100 block of Simpson Ferry Road          Driving Under the Influence    D-ARREST","February 3, 2015",42038,02/03/15,5100 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,35,54,,,,,,,,,,,,
"January 22, 2015     East Trindle Road/Manor Drive          Driving Under the Influence    D-ARREST","January 22, 2015",42026,01/22/15,East Trindle Road/Manor Drive 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,32,51,,,,,,,,,,,,
"January 10, 2015     2000 block of Good Hope Road          Driving Under the Influence    D-ARREST","January 10, 2015",42014,01/10/15,2000 block of Good Hope Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,19,31,50,,,,,,,,,,,,
"January 4, 2015     5200 block of East Trindle Road          Driving Under the Influence    D-ARREST","January 4, 2015",42008,01/04/15,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,34,52,,,,,,,,,,,,
"January 3, 2015     Market Street/Central Boulevard          Driving Under the Influence    D-ARREST","January 3, 2015",42007,01/03/15,Market Street/Central Boulevard 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,,,18,34,52,,,,,,,,,,,,
"December 12, 2016     100 block of Gateway Drive           Driving Under the Influence    D-ARREST","December 12, 2016",42716,12/12/16,100 block of Gateway Drive 17011,#VALUE!,Driving Under the Influence D-ARRES,Driving Under the Influence,#VALUE!,,20,29,49,0,,,,,,,,,,,
"November 26, 2016     Wertzville Road/I81N           Driving Under the Influence    D-ARREST","November 26, 2016",42700,11/26/16,Wertzville Road/I81N 17011,#VALUE!,Driving Under the Influence D,Driving Under the Influence,#VALUE!,,20,23,43,,,,,,,,,,,,
"November 26, 2016     100 block of South Sporting Hill Road          Driving Under the Influence    D-ARREST","November 26, 2016",42700,11/26/16,100 block of South Sporting Hill Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,20,40,60,,,,,,,,,,,,
"November 25, 2016     Allendale Road/Simpson Ferry Road          Driving Under the Influence    D-ARREST","November 25, 2016",42699,11/25/16,Allendale Road/Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,20,36,56,,,,,,,,,,,,
"November 13, 2016     5200 block of Simpson Ferry Road          Driving Under the Influence    D-ARREST","November 13, 2016",42687,11/13/16,5200 block of Simpson Ferry Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,20,35,55,,,,,,,,,,,,
"October 27, 2016     Good Hope Road/Shasta Way         Driving Under the Influence    D-ARREST","October 27, 2016",42670,10/27/16,Good Hope Road/Shasta Way 17011,#VALUE!,Driving Under the Influence D-ARRES,Driving Under the Influence,#VALUE!,,19,28,47,,,,,,,,,,,,
"October 26, 2016     Orrs Bridge Road/Ridgeland Boulevard         Driving Under the Influence    D-ARREST","October 26, 2016",42669,10/26/16,Orrs Bridge Road/Ridgeland Boulevard 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,19,39,58,,,,,,,,,,,,
"October 23, 2016     East Trindle Road/St Johns Church Road          Driving Under the Influence    D-ARREST","October 23, 2016",42666,10/23/16,East Trindle Road/St Johns Church Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,19,41,60,,,,,,,,,,,,
"September 3, 2016     5200 block of East Trindle Road         Driving Under the Influence    D-ARREST","September 3, 2016",42616,09/03/16,5200 block of East Trindle Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,20,34,54,,,,,,,,,,,,
"August 30, 2016     Carlisle Pike/N Sporting Hill Road         Driving Under the Influence    D-ARREST","August 30, 2016",42612,08/30/16,Carlisle Pike/N Sporting Hill Road 17011,#VALUE!,Driving Under the Influence D-ARREST,Driving Under the Influence,#VALUE!,,18,37,55,,,,,,,,,,,,
"July 25, 2016     RT 581 EB at MM 5.4         Driving Under the Influence    D-ARREST","July 25, 2016",42576,07/25/16,RT 581 EB at MM 5.4 17011,#VALUE!,Driving Under the Influence,Driving Under the Influence,#VALUE!,,16,22,38,,,,,,,,,,,,
"June 16, 2016     2200 block of Millennium Way         Driving Under the Influence    D","June 16, 2016",42537,06/16/16,2200 block of Millennium Way 17011,#VALUE!,Driving Under the Influence D,Driving Under the Influence,#VALUE!,,16,31,47,,,,,,,,,,,,
"June 1, 2016     RT 581/Creekview Road         Driving Under the Influence    D-ARREST","June 1, 2016",42522,06/01/16,RT 581/Creekview Road 17011,#VALUE!,Driving Under the Influence,Driving Under the Influence,#VALUE!,,15,24,39,,,,,,,,,,,,
"May 28, 2016     1100 block of Orrs Bridge Road         Driving Under the Influence     D-ARREST","May 28, 2016",42518,05/28/16,1100 block of Orrs Bridge Road 17011,#VALUE!,Driving Under the Influence D-ARRES,Driving Under the Influence,#VALUE!,,15,33,48,,,,,,,,,,,,
"April 27, 2016     RT 581/Carlisle Pike         Driving Under the Influence    D-ARREST","April 27, 2016",42487,04/27/16,RT 581/Carlisle Pike 17011,#VALUE!,Driving Under the Influence,Driving Under the Influence,#VALUE!,,17,23,40,,,,,,,,,,,,
"April 19, 2016     6400 block of Carlisle Pike         Driving Under the Influence    D-ARREST","April 19, 2016",42479,04/19/16,6400 block of Carlisle Pike 17011,#VALUE!,Driving Under the Influence D-ARRES,Driving Under the Influence,#VALUE!,,17,30,47,,,,,,,,,,,,
